"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","bid",0.00355401495688738
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","bonu",0.00178596028902105
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","bonu payment",0.00892859511785441
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","calcul",0.00446978249491018
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","cap",0.00981433636921365
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","capit",0.000896114533457854
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","capita",0.00357621616793047
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","capita cost",0.00089399364160619
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","chang",0.00268642417159671
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","columbia",0.00177885376650361
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","concern",0.00178298548012979
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","condit",0.000895684508353718
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","consolid",0.00357519573126417
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","consum",0.00178131411237896
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","continu",0.00356439059615872
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","contract",0.0222742200460694
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","convert",0.0035805116936932
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","cost",0.00356475147205375
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","counti",0.0393288031365867
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","criteria",0.00178486914153863
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","current",0.00268569273160919
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","data",0.00267943946500946
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","deem",0.00266922962915404
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","determin",0.0160668827872206
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","develop",0.000898780428056956
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","discuss",0.0044702968754209
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","district",0.00178721444897369
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","document",0.00266329444464412
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","documents.html",0.00267538384047569
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","doubl",0.000896478267513555
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","drug",0.000900381363064662
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","drug coverag",0.000894164635239978
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","educ",0.000895768196686946
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","elig",0.00179729304636139
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","encourag",0.000894711617435517
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","enrol",0.00805086757861403
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","enrolle",0.00266657282959786
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","establish",0.00178966213787412
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","estim",0.000895269130869774
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","except",0.000893923158951662
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","fewer",0.00178887644165073
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","ff",0.00809163073385007
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","ff claim",0.000898371854989746
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","ff cost",0.00267823683300426
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","ff rate",0.00627504889640023
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","final",0.00267137860683244
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","found",0.000896936338013153
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","http www.cms.gov",0.00357665108501315
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","identifi",0.000895166654777168
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","ii",0.00623758355742032
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","iii",0.00178627718799189
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","im",0.00177953120543969
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","implement",0.000895592026816001
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","improv",0.00178657373573654
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","incent",0.000895248036960698
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","includ",0.00357269571001015
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","increas",0.0116179793606109
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","indirect",0.00089651212479938
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","inform",0.00178701710242196
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","intend",0.00445546357206872
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","legal",0.000896387550052928
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","level",0.00267512816918767
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","light",0.000894689887862041
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","list",0.00177888071934167
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","locat",0.000895549023222053
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","low",0.00804207799357903
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","low enrol",0.00799966605408219
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","lowest",0.000894437154898107
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","macra",0.00266369559758986
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","mandatori",0.000895867093454007
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","measur",0.00178628054568767
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","medicareadvtgspecratestat",0.00356890307268036
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","meet",0.00356474297148558
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","method",0.000897263336745699
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","multipli",0.000895062951278287
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","nation",0.00268712680596214
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","novemb",0.00178903776921941
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","octob",0.00089495355506325
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","offer",0.000894455095321833
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","organ",0.0071460366813825
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","parent",0.00534917022971499
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","payment",0.00539649683913904
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","pend",0.000894763061696487
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","percent",0.0044670433613851
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","percentag",0.0115937765171063
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","percentag increas",0.00447594582854139
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","perform",0.000898268619720789
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","period",0.00355003957971676
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","phase",0.00268644561963239
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","polici",0.00445342352967357
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","popul",0.000900997484879421
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","post",0.000898657792334296
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","preced",0.00178380044221924
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","prescript",0.00178921022750826
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","prescript drug",0.00178840859929672
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","previou",0.00178439732203991
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","prior",0.00178276292858702
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","program",0.000900584356094134
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","provid",0.00178654962427005
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","provis",0.00267349970878499
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","publish",0.00355161237399819
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","purpos",0.00445385257594383
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","qbp",0.0223218941694907
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","qbp percentag",0.0160764893085176
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","qualifi",0.0151453172248095
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","qualiti",0.0106918321949933
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","qualiti bonu",0.00892641219041594
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","quartil",0.00623724726492886
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","rais",0.00177867554029813
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","rank",0.00445767581377211
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","rate",0.0249515435184896
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","rate announc",0.00357844629782234
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","ratebook",0.000898383893103919
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","reason",0.00179047978095111
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","rebas",0.00535599725141459
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","rebat",0.00890282953344488
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","rebat percentag",0.00532619792454997
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","receiv",0.00711691781945382
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","recent",0.00178066156616128
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","refer",0.00267495236586257
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","reflect",0.00178252928646531
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","reimburs",0.00178858971834964
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","risk",0.00179815435799595
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","risk adjust",0.00178986322841573
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","rulemak",0.000894749166996792
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","section",0.0285809409759707
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","section 1853",0.0285783373112422
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","servic",0.0106850715838454
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","set",0.00355150660371586
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","singl",0.000896200113883694
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","specif",0.00179021624667673
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","spend",0.00178855957865539
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","stakehold",0.00178874237780378
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","star",0.0178707870015104
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","star rate",0.0107404163807665
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","start",0.00178358569696426
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","statu",0.000895876814508906
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","statut",0.00178219433560543
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","statutori",0.00177734675953527
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","subsequ",0.00178026901851845
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","support",0.00089638729410776
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","surviv",0.00178548120144473
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","system",0.000894455707896104
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","tabl",0.00446870052349224
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","tabl ii",0.00447112705349469
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","take",0.00178950655457664
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","term",0.00356322696541276
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","territori",0.00267769868184483
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","time",0.000895929117391367
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","total",0.000894085648587556
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","transit",0.00177521453046528
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","treat",0.00532946784551098
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","type",0.000894550083742012
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","updat",0.000897540564476325
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","weight",0.0026787733462344
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","weight averag",0.00266370079436143
"Section A.  MA Growth Percentage","1",0.0346766725944629
"Section A.  MA Growth Percentage","1current",0.0173157287712664
"Section A.  MA Growth Percentage","2",4.10117372525699e-05
"Section A.  MA Growth Percentage","2003",0.0346338016203683
"Section A.  MA Growth Percentage","2015",1.59869311629797e-05
"Section A.  MA Growth Percentage","2016",2.16092741001214e-05
"Section A.  MA Growth Percentage","2017",6.20646477159592e-05
"Section A.  MA Growth Percentage","3",2.73100078959409e-05
"Section A.  MA Growth Percentage","4",2.78462851637486e-05
"Section A.  MA Growth Percentage","4 vi",2.35080567800788e-05
"Section A.  MA Growth Percentage","4.05",0.0173157287712664
"Section A.  MA Growth Percentage","42",2.57465311847063e-05
"Section A.  MA Growth Percentage","42 c.f.r",3.4244999346603e-05
"Section A.  MA Growth Percentage","5",2.55817648399037e-05
"Section A.  MA Growth Percentage","5.44",0.0173157287712664
"Section A.  MA Growth Percentage","6",0.0173194020039661
"Section A.  MA Growth Percentage","access",2.25540603491944e-05
"Section A.  MA Growth Percentage","account",1.86363168484002e-05
"Section A.  MA Growth Percentage","act",0.0173635044269085
"Section A.  MA Growth Percentage","action",1.87415319309081e-05
"Section A.  MA Growth Percentage","addit",4.13836136222403e-05
"Section A.  MA Growth Percentage","adjust",0.0173638617694361
"Section A.  MA Growth Percentage","advanc",1.59661508573942e-05
"Section A.  MA Growth Percentage","ag",0.0346383226585944
"Section A.  MA Growth Percentage","amount",5.60000458943212e-05
"Section A.  MA Growth Percentage","announc",1.63657051016482e-05
"Section A.  MA Growth Percentage","annual",2.89609821267541e-05
"Section A.  MA Growth Percentage","appli",3.47829136844572e-05
"Section A.  MA Growth Percentage","applic",9.02678950517507e-05
"Section A.  MA Growth Percentage","applic drug",1.92759128712428e-05
"Section A.  MA Growth Percentage","audit",2.96641737371792e-05
"Section A.  MA Growth Percentage","author",1.82102481718602e-05
"Section A.  MA Growth Percentage","averag",2.08377498200971e-05
"Section A.  MA Growth Percentage","base",9.73046679032277e-05
"Section A.  MA Growth Percentage","basi",1.7904687288595e-05
"Section A.  MA Growth Percentage","begin",1.8674400193954e-05
"Section A.  MA Growth Percentage","benchmark",1.93076998026059e-05
"Section A.  MA Growth Percentage","beneficiari",4.985142146461e-05
"Section A.  MA Growth Percentage","benefit",0.000147654641430229
"Section A.  MA Growth Percentage","bid",9.89072430167944e-05
"Section A.  MA Growth Percentage","bid submiss",1.72108114732783e-05
"Section A.  MA Growth Percentage","c.f.r",1.80060229030423e-05
"Section A.  MA Growth Percentage","calcul",3.73821728257039e-05
"Section A.  MA Growth Percentage","call",2.04237418730819e-05
"Section A.  MA Growth Percentage","call letter",1.82420946720899e-05
"Section A.  MA Growth Percentage","capita",0.0519553456501772
"Section A.  MA Growth Percentage","capita cost",0.0173207904287926
"Section A.  MA Growth Percentage","categori",1.57743896529059e-05
"Section A.  MA Growth Percentage","chang",0.0519761894270372
"Section A.  MA Growth Percentage","claim",2.73923955976171e-05
"Section A.  MA Growth Percentage","clinic",1.72905667410867e-05
"Section A.  MA Growth Percentage","combin",0.0173201672713377
"Section A.  MA Growth Percentage","comment",1.90858811034041e-05
"Section A.  MA Growth Percentage","complet",2.64760154686741e-05
"Section A.  MA Growth Percentage","complianc",2.4271938719125e-05
"Section A.  MA Growth Percentage","condit",2.87290149584856e-05
"Section A.  MA Growth Percentage","consist",1.92117597607808e-05
"Section A.  MA Growth Percentage","continu",5.08189713296497e-05
"Section A.  MA Growth Percentage","contract",9.13723963039061e-05
"Section A.  MA Growth Percentage","correct",1.94156033101469e-05
"Section A.  MA Growth Percentage","cost",0.000316281333198048
"Section A.  MA Growth Percentage","cost share",9.73141241268379e-05
"Section A.  MA Growth Percentage","counti",3.69348662155193e-05
"Section A.  MA Growth Percentage","cover",3.84833859937421e-05
"Section A.  MA Growth Percentage","coverag",6.11566337637479e-05
"Section A.  MA Growth Percentage","coverag gap",1.92610721582437e-05
"Section A.  MA Growth Percentage","criteria",1.83126789920945e-05
"Section A.  MA Growth Percentage","current",0.0173505367057222
"Section A.  MA Growth Percentage","dai",2.92058582897566e-05
"Section A.  MA Growth Percentage","data",6.84968832560622e-05
"Section A.  MA Growth Percentage","defin",2.62094313193113e-05
"Section A.  MA Growth Percentage","determin",6.90301693942354e-05
"Section A.  MA Growth Percentage","develop",1.59123274287462e-05
"Section A.  MA Growth Percentage","differ",2.49587211380074e-05
"Section A.  MA Growth Percentage","disabl",0.0346396159793497
"Section A.  MA Growth Percentage","diseas",1.76714459061858e-05
"Section A.  MA Growth Percentage","divid",0.0173200357071341
"Section A.  MA Growth Percentage","drug",0.000126479826552811
"Section A.  MA Growth Percentage","due",1.67481977152232e-05
"Section A.  MA Growth Percentage","egwp",1.87723898163882e-05
"Section A.  MA Growth Percentage","elig",2.61069327734993e-05
"Section A.  MA Growth Percentage","enhanc",2.32766100780201e-05
"Section A.  MA Growth Percentage","enrol",7.05232979386362e-05
"Section A.  MA Growth Percentage","enrolle",0.017411554050753
"Section A.  MA Growth Percentage","ensur",1.75859487424048e-05
"Section A.  MA Growth Percentage","esrd",3.96803542401061e-05
"Section A.  MA Growth Percentage","establish",2.39341772516542e-05
"Section A.  MA Growth Percentage","estim",0.069281546248356
"Section A.  MA Growth Percentage","evalu",2.41103181307044e-05
"Section A.  MA Growth Percentage","expect",1.96503240008598e-05
"Section A.  MA Growth Percentage","factor",2.43661148078779e-05
"Section A.  MA Growth Percentage","fee",2.40884168525422e-05
"Section A.  MA Growth Percentage","ff",3.69279865167271e-05
"Section A.  MA Growth Percentage","file",2.09743689754604e-05
"Section A.  MA Growth Percentage","final",4.00400709189134e-05
"Section A.  MA Growth Percentage","formulari",3.86849441544466e-05
"Section A.  MA Growth Percentage","growth",0.0692667529315705
"Section A.  MA Growth Percentage","hpm",1.61739887711551e-05
"Section A.  MA Growth Percentage","identifi",3.18001323170377e-05
"Section A.  MA Growth Percentage","ii",3.30505606421599e-05
"Section A.  MA Growth Percentage","impact",1.70138399232949e-05
"Section A.  MA Growth Percentage","implement",3.1179595928772e-05
"Section A.  MA Growth Percentage","improv",1.64226487530357e-05
"Section A.  MA Growth Percentage","includ",0.000119944654802224
"Section A.  MA Growth Percentage","increas",0.0519802426746342
"Section A.  MA Growth Percentage","individu",2.17848364626361e-05
"Section A.  MA Growth Percentage","inform",4.95484218346237e-05
"Section A.  MA Growth Percentage","initi",2.04749453327591e-05
"Section A.  MA Growth Percentage","item",1.57811295259295e-05
"Section A.  MA Growth Percentage","letter",1.95458182195472e-05
"Section A.  MA Growth Percentage","level",3.47081063107599e-05
"Section A.  MA Growth Percentage","li",1.82320206017389e-05
"Section A.  MA Growth Percentage","limit",2.6233760878114e-05
"Section A.  MA Growth Percentage","loss",1.95992233372075e-05
"Section A.  MA Growth Percentage","low",1.99514021953942e-05
"Section A.  MA Growth Percentage","manag",2.3040119939344e-05
"Section A.  MA Growth Percentage","mao",3.70720242328721e-05
"Section A.  MA Growth Percentage","margin",1.76197265947263e-05
"Section A.  MA Growth Percentage","measur",5.37770815143597e-05
"Section A.  MA Growth Percentage","medic",3.75020134337188e-05
"Section A.  MA Growth Percentage","medicaid",2.99434166734051e-05
"Section A.  MA Growth Percentage","meet",2.90722291762771e-05
"Section A.  MA Growth Percentage","methodologi",1.73037836578999e-05
"Section A.  MA Growth Percentage","model",5.92952718972439e-05
"Section A.  MA Growth Percentage","month",2.00914674629618e-05
"Section A.  MA Growth Percentage","nation",0.051956842251592
"Section A.  MA Growth Percentage","network",3.27070551675746e-05
"Section A.  MA Growth Percentage","normal",1.8933852076734e-05
"Section A.  MA Growth Percentage","normal factor",1.7691427029951e-05
"Section A.  MA Growth Percentage","notic",1.86676781197885e-05
"Section A.  MA Growth Percentage","offer",5.57951352575771e-05
"Section A.  MA Growth Percentage","opioid",3.81620695350975e-05
"Section A.  MA Growth Percentage","option",1.8572918968898e-05
"Section A.  MA Growth Percentage","organ",7.53164515224109e-05
"Section A.  MA Growth Percentage","origin",1.72793616046144e-05
"Section A.  MA Growth Percentage","otc",2.17044871014372e-05
"Section A.  MA Growth Percentage","patient",1.8314644125686e-05
"Section A.  MA Growth Percentage","payment",8.9301613875958e-05
"Section A.  MA Growth Percentage","pbp",2.05905102892468e-05
"Section A.  MA Growth Percentage","percent",0.0346672917035412
"Section A.  MA Growth Percentage","percentag",0.0692866663151352
"Section A.  MA Growth Percentage","perform",2.44994141243347e-05
"Section A.  MA Growth Percentage","period",1.89513406332193e-05
"Section A.  MA Growth Percentage","polici",3.06332294159378e-05
"Section A.  MA Growth Percentage","premium",2.89039755547066e-05
"Section A.  MA Growth Percentage","prescript",5.01359206086672e-05
"Section A.  MA Growth Percentage","prescript drug",2.34652993227437e-05
"Section A.  MA Growth Percentage","price",1.76163914750354e-05
"Section A.  MA Growth Percentage","prior",0.0346607896929335
"Section A.  MA Growth Percentage","process",2.37713395630373e-05
"Section A.  MA Growth Percentage","program",6.90050212595869e-05
"Section A.  MA Growth Percentage","project",2.16550774885036e-05
"Section A.  MA Growth Percentage","propos",4.22205888931164e-05
"Section A.  MA Growth Percentage","provid",0.000110342611193909
"Section A.  MA Growth Percentage","qualifi",1.80492291749435e-05
"Section A.  MA Growth Percentage","qualiti",1.70559213991278e-05
"Section A.  MA Growth Percentage","rate",6.84323129857538e-05
"Section A.  MA Growth Percentage","receiv",6.57171772364114e-05
"Section A.  MA Growth Percentage","reduct",2.09056825879917e-05
"Section A.  MA Growth Percentage","reflect",0.0173304861627996
"Section A.  MA Growth Percentage","relat",1.75636789772437e-05
"Section A.  MA Growth Percentage","renew",1.75712738864191e-05
"Section A.  MA Growth Percentage","report",2.67166516997428e-05
"Section A.  MA Growth Percentage","request",2.90338266520848e-05
"Section A.  MA Growth Percentage","requir",0.0174216993545109
"Section A.  MA Growth Percentage","result",3.26356467323786e-05
"Section A.  MA Growth Percentage","review",3.34580436807432e-05
"Section A.  MA Growth Percentage","risk",6.06639260607669e-05
"Section A.  MA Growth Percentage","risk score",2.72101086929443e-05
"Section A.  MA Growth Percentage","section",0.0174646947836273
"Section A.  MA Growth Percentage","section 1853",0.0173350200688671
"Section A.  MA Growth Percentage","section ii",2.92279022809499e-05
"Section A.  MA Growth Percentage","segment",1.9392891167531e-05
"Section A.  MA Growth Percentage","servic",0.000103482900471467
"Section A.  MA Growth Percentage","set",2.29257348229702e-05
"Section A.  MA Growth Percentage","share",9.19437728656979e-05
"Section A.  MA Growth Percentage","snp",5.17540473731814e-05
"Section A.  MA Growth Percentage","specif",3.66422035528913e-05
"Section A.  MA Growth Percentage","sponsor",0.000114016418864963
"Section A.  MA Growth Percentage","sponsor organ",2.08190712439892e-05
"Section A.  MA Growth Percentage","standard",2.25610468039728e-05
"Section A.  MA Growth Percentage","star",3.1696486209107e-05
"Section A.  MA Growth Percentage","star rate",2.5405940234138e-05
"Section A.  MA Growth Percentage","statu",1.93102376779567e-05
