"doc1","doc2","distance"
"Section II Special Needs Plan (SNP) Specific Networks Research and Development","Section II Special Needs Plan (SNP) Legislative Sunset Provision",0.459317272957614
"Section F.  Dispensing Fees and Vaccine Administration Fees for Applicable Drugs in the Coverage Gap","Section E.  Reduced Coinsurance for Applicable Beneficiaries in the Coverage Gap",0.458479321407397
"Section III Benefit Review","Section II Per Member Per Month (PMPM) Actuarial Equivalent (AE) Cost Sharing Limits",0.456837421852433
"Section III Timely Updates to LIS Status Based on Best Available Evidence","Section II Per Member Per Month (PMPM) Actuarial Equivalent (AE) Cost Sharing Limits",0.456188504195387
"Section II Medicare Advantage (MA) Uniformity Flexibility","Section II Part C Cost Sharing Standards",0.45526856369837
"Section C.  IME Phase Out","Section A.  MA Benchmark  Quality Bonus Payments and Rebate",0.453157522861977
"Section II Medicare Advantage (MA) Segmented Service Area Options","Section II Medicare Advantage (MA) Uniformity Flexibility",0.443312992423365
"Section III Timely Updates to LIS Status Based on Best Available Evidence","Section II Part C Cost Sharing Standards",0.43785800119929
"Section II Cost Plan Competition Requirements","Section D.  Retiree Drug Subsidy Amounts",0.436851715443981
"Section III Specialty Tiers","Section III Tier Composition",0.435872526697984
"Section II Tiered Cost Sharing of Medical Benefits","Section II Maximum Out of Pocket (MOOP) Limits",0.432243196789905
"Section II Medicare Advantage (MA) Segmented Service Area Options","Section II Health Related Supplemental Benefits",0.431041597034859
"Section II Overview of CY 2019 Benefits and Bid Review","Section II Medicare Advantage (MA) Uniformity Flexibility",0.423933442851413
"Section II Enhanced Disease Management (EDM) for Dual Eligible Special Needs Plans (D SNPs) and Institutional Special Needs Plans (I SNPs)","Section II Special Needs Plan (SNP) Legislative Sunset Provision",0.418985449763654
"Section G.  Part D Calendar Year Employer Group Waiver Plans Prospective Reinsurance Payment Amount","Section G.  MA Employer Group Waiver Plans",0.418974679352636
"Section II Enhanced Disease Management (EDM) for Dual Eligible Special Needs Plans (D SNPs) and Institutional Special Needs Plans (I SNPs)","Section II Health Related Supplemental Benefits",0.418097409113371
"Section III Benefit Review","Section III Part D Benefit Parameters for Non Defined Standard Plans",0.411178339715044
"Section II Cost Plan Competition Requirements","Section II Part C Cost Sharing Standards",0.411086483895919
"Section II Overview of CY 2019 Benefits and Bid Review","Section II Total Beneficiary Cost (TBC)",0.407524301799466
"Section III Timely Updates to LIS Status Based on Best Available Evidence","Section III Part D Benefit Parameters for Non Defined Standard Plans",0.406877692650912
"Section II Tiered Cost Sharing of Medical Benefits","Section III Tier Composition",0.406128691055944
"Section III Timely Updates to LIS Status Based on Best Available Evidence","Section III Improving Access to Part D Vaccines",0.405995823655219
"Section II Special Needs Plan (SNP) Specific Networks Research and Development","Section II Enhanced Disease Management (EDM) for Dual Eligible Special Needs Plans (D SNPs) and Institutional Special Needs Plans (I SNPs)",0.405985695694593
"Section II Meaningful Difference (Substantially Duplicative Plan Offerings)","Section III Part D Benefit Parameters for Non Defined Standard Plans",0.405897807243204
"Section I Plan Finder Civil Money Penalty (CMP) Icon or Other Type of Notice","Section I Audit of the Sponsoring Organization s Compliance Program Effectiveness",0.404818037239011
"Section II Outpatient Observation Services","Section II Per Member Per Month (PMPM) Actuarial Equivalent (AE) Cost Sharing Limits",0.402724324372814
"Section II Medicare Advantage (MA) Segmented Service Area Options","Section II Part C Cost Sharing Standards",0.401247330236514
"Section III Benefit Review","Section III Tier Composition",0.396635722672666
"Section E.  Estimated Total Covered Part D Spending at Out of Pocket Threshold for Applicable Beneficiaries","Section II Per Member Per Month (PMPM) Actuarial Equivalent (AE) Cost Sharing Limits",0.393988283665367
"Section A.  Update of the RxHCC Model","Section L.  Normalization Factors",0.392189899359521
"Section II Enhanced Disease Management (EDM) for Dual Eligible Special Needs Plans (D SNPs) and Institutional Special Needs Plans (I SNPs)","Section II Medicare Advantage (MA) Uniformity Flexibility",0.39172499625515
"Section E.  Estimated Total Covered Part D Spending at Out of Pocket Threshold for Applicable Beneficiaries","Section II Part C Cost Sharing Standards",0.38995560283512
"Section II Overview of CY 2019 Benefits and Bid Review","Section II Tiered Cost Sharing of Medical Benefits",0.38253717708635
"Section II Overview of CY 2019 Benefits and Bid Review","Section I Plan Corrections",0.382336913454289
"Section II Medicare Advantage (MA) Uniformity Flexibility","Section II Tiered Cost Sharing of Medical Benefits",0.381100601893849
"Section III Improving Access to Part D Vaccines","Section II Maximum Out of Pocket (MOOP) Limits",0.380316201087262
"Section N.  Encounter Data as a Diagnosis Source for 2019","Section L.  Normalization Factors",0.37864292631538
"Section E.  Reduced Coinsurance for Applicable Beneficiaries in the Coverage Gap","Section II Part C Cost Sharing Standards",0.377803076021517
"Section III Part D Benefit Parameters for Non Defined Standard Plans","Section II Per Member Per Month (PMPM) Actuarial Equivalent (AE) Cost Sharing Limits",0.375545033906552
"Section III Specialty Tiers","Section III Improving Access to Part D Vaccines",0.374087936477194
"Section D.  ESRD Rates","Section I.  ESRD Risk Adjustment Model for CY 2019",0.374058926871217
"Section II Part C Optional Supplemental Benefits","Section II Medicare Advantage (MA) Uniformity Flexibility",0.372931917084951
"Section A.  Update of the RxHCC Model","Section I.  ESRD Risk Adjustment Model for CY 2019",0.369140456480438
"Section B.  FFS Growth Percentage","Section D.  ESRD Rates",0.368754609461428
"Section D.  Retiree Drug Subsidy Amounts","Section II Cost Plan Transition to MA under MACRA",0.367990036096994
"Section I Annual Calendar","Section IV   Medicare Medicaid Plans",0.36577066147439
"Section II Outpatient Observation Services","Section II Tiered Cost Sharing of Medical Benefits",0.362400763501364
"Section III Part D Benefit Parameters for Non Defined Standard Plans","Section II Tiered Cost Sharing of Medical Benefits",0.361465946229727
"Section B.  Encounter Data as a Diagnosis Source for 2019","Section L.  Normalization Factors",0.361422603010851
"Section I.  ESRD Risk Adjustment Model for CY 2019","Section L.  Normalization Factors",0.360779244093954
"Section II Part C Cost Sharing Standards","Section E.  Clinical Trials",0.358677159486671
"Section II Overview of CY 2019 Benefits and Bid Review","Section III Part D Benefit Parameters for Non Defined Standard Plans",0.358038200304142
"Section II Cost Plan Competition Requirements","Section II Per Member Per Month (PMPM) Actuarial Equivalent (AE) Cost Sharing Limits",0.357622320274923
"Section III Medication Therapy Management (MTM) Annual Cost Threshold","Section D.  Medicare Part D Benefit Parameters  Annual Adjustments for Defined Standard Benefit in 2019",0.357490184050126
"Section II Medicare Advantage (MA) Segmented Service Area Options","Section II Medicare Diabetes Prevention Program (MDPP) Services Clarification",0.356899392767072
"Section II Cost Plan Competition Requirements","Section II Overview of CY 2019 Benefits and Bid Review",0.355905204582361
"Section II Employer Group Waiver Plans","Section I Incomplete and Inaccurate Bid Submissions",0.355764471694309
"Section III Expanding the Part D OTC Program","Section III CY 2019 Formulary Submission Window",0.353223672736903
"Section II Cost Plan Competition Requirements","Section II Tiered Cost Sharing of Medical Benefits",0.351129136660574
"Section II Special Needs Plan (SNP) Legislative Sunset Provision","Section II Improving Beneficiary Communications and Reducing Burden for Integrated D SNPs",0.350635850811649
"Section II Cost Plan Competition Requirements","Section II Medicare Advantage (MA) Uniformity Flexibility",0.350441277673819
"Section I Annual Calendar","Section I Incomplete and Inaccurate Bid Submissions",0.349831751720251
"Section III Part D Benefit Parameters for Non Defined Standard Plans","Section D.  Medicare Part D Benefit Parameters  Annual Adjustments for Defined Standard Benefit in 2019",0.348114603766498
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","Section B.  Calculation of Fee for Service Cost",0.347333963675135
"Section G.  MA Employer Group Waiver Plans","Section B.  Calculation of Fee for Service Cost",0.346550583619923
"Section D.  Retiree Drug Subsidy Amounts","Section II Part C Cost Sharing Standards",0.345824140297126
"Section III Timely Updates to LIS Status Based on Best Available Evidence","Section II Maximum Out of Pocket (MOOP) Limits",0.343005842569003
"Section II Coverage of Supervised Exercise Therapy (SET) for Symptomatic Peripheral Artery Disease (PAD)","Section II Health Related Supplemental Benefits",0.342417471768742
"Section II Medicare Diabetes Prevention Program (MDPP) Services Clarification","Section II Medicare Advantage (MA) Uniformity Flexibility",0.342182681663756
"Section II Part C Optional Supplemental Benefits","Section II Medicare Advantage (MA) Segmented Service Area Options",0.341611643343844
"Section III Benefit Review","Section II Maximum Out of Pocket (MOOP) Limits",0.340121862715627
"Section III Timely Updates to LIS Status Based on Best Available Evidence","Section II Tiered Cost Sharing of Medical Benefits",0.340022206256963
"Section III CY 2019 Formulary Submission Window","Section IV   Medicare Medicaid Plans",0.335373935619947
"Section II Tiered Cost Sharing of Medical Benefits","Section E.  Clinical Trials",0.334197010258651
"Section III LIS Enrollee Cost sharing for Out of Network Part D Drugs","Section III Using the Best Available Information when making B vs D Coverage Determinations for Immunosuppressants and Inhalation Durable Medical Equipment (DME) Supply Drugs",0.332176499282523
"Section E.  Reduced Coinsurance for Applicable Beneficiaries in the Coverage Gap","Section II Per Member Per Month (PMPM) Actuarial Equivalent (AE) Cost Sharing Limits",0.331754445460472
"Section C.  IME Phase Out","Section B.  Calculation of Fee for Service Cost",0.331129901070069
"Section II Part C Optional Supplemental Benefits","Section II Enhanced Disease Management (EDM) for Dual Eligible Special Needs Plans (D SNPs) and Institutional Special Needs Plans (I SNPs)",0.330709967772693
"Section II Special Needs Plan (SNP) Specific Networks Research and Development","Section II Improving Beneficiary Communications and Reducing Burden for Integrated D SNPs",0.32912615246665
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","Section I Enhancements to the 2019 Star Ratings and Future Measurement Concepts",0.327702579458043
"Section II Meaningful Difference (Substantially Duplicative Plan Offerings)","Section II Cost Plan Competition Requirements",0.327239314404741
"Section H.  Enhanced Medication Therapy Management (MTM) Model","Section G.  MA Employer Group Waiver Plans",0.32713976109035
"Section F.  Location of Network Areas for PFFS Plans in Plan Year 2020","Section A.  MA Benchmark  Quality Bonus Payments and Rebate",0.325257865873741
"Section II Part C Optional Supplemental Benefits","Section II Overview of CY 2019 Benefits and Bid Review",0.325060470473898
"Section III Benefit Review","Section II Overview of CY 2019 Benefits and Bid Review",0.324902468378682
"Section III Part D Benefit Parameters for Non Defined Standard Plans","Section III Tier Composition",0.324690416244008
"Section II Overview of CY 2019 Benefits and Bid Review","Section II Cost Plan Transition to MA under MACRA",0.324346083187988
"Section B.  FFS Growth Percentage","Section B.  Calculation of Fee for Service Cost",0.322432061352812
"Section II Overview of CY 2019 Benefits and Bid Review","Section III Improving Access to Part D Vaccines",0.321907114004745
"Section I Plan Finder Civil Money Penalty (CMP) Icon or Other Type of Notice","Section I Validation Audits",0.320859247079426
"Section III LIS Enrollee Cost sharing for Out of Network Part D Drugs","Section E.  Reduced Coinsurance for Applicable Beneficiaries in the Coverage Gap",0.319225116145572
"Section D.  Retiree Drug Subsidy Amounts","Section II Per Member Per Month (PMPM) Actuarial Equivalent (AE) Cost Sharing Limits",0.318887741988298
"Section II Medicare Diabetes Prevention Program (MDPP) Services Clarification","Section II Part C Cost Sharing Standards",0.318370766000157
"Section B.  Encounter Data as a Diagnosis Source for 2019","Section A.  Update of the RxHCC Model",0.318207998390311
"Section II Total Beneficiary Cost (TBC)","Section II Part C Cost Sharing Standards",0.316608724774335
"Section III Timely Updates to LIS Status Based on Best Available Evidence","Section D.  Retiree Drug Subsidy Amounts",0.316532270435986
"Section II Medicare Advantage (MA) Segmented Service Area Options","Section II Overview of CY 2019 Benefits and Bid Review",0.316471705369538
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","Section G.  MA Employer Group Waiver Plans",0.315985700235252
"Section III Timely Updates to LIS Status Based on Best Available Evidence","Section III Benefit Review",0.314853851773928
"Section III Part D Benefit Parameters for Non Defined Standard Plans","Section III Expanding the Part D OTC Program",0.314333915133046
"Section II Transparency   Timeliness with Prior Authorization Processes","Section II Parts A and B Cost sharing for Individuals Enrolled in the Qualified Medicare Beneficiary (QMB) Program",0.31336487916798
"Section II Overview of CY 2019 Benefits and Bid Review","Section II Maximum Out of Pocket (MOOP) Limits",0.312749066838171
"Section II Enhanced Disease Management (EDM) for Dual Eligible Special Needs Plans (D SNPs) and Institutional Special Needs Plans (I SNPs)","Section II Improving Beneficiary Communications and Reducing Burden for Integrated D SNPs",0.311512875677332
"Section I Incomplete and Inaccurate Bid Submissions","Section G.  MA Employer Group Waiver Plans",0.310634921945152
"Section II Medicare Advantage (MA) Segmented Service Area Options","Section II Per Member Per Month (PMPM) Actuarial Equivalent (AE) Cost Sharing Limits",0.309719730965832
"Section II Medicare Advantage (MA) Segmented Service Area Options","Section III Part D Benefit Parameters for Non Defined Standard Plans",0.307077734600667
"Section II Transparency   Timeliness with Prior Authorization Processes","Section E.  Clinical Trials",0.306223847933042
"Section II Cost Plan Competition Requirements","Section E.  Clinical Trials",0.305812750854997
"Section III Medication Therapy Management (MTM) Annual Cost Threshold","Section E.  Estimated Total Covered Part D Spending at Out of Pocket Threshold for Applicable Beneficiaries",0.305445119533249
"Section III Part D Benefit Parameters for Non Defined Standard Plans","Section II Maximum Out of Pocket (MOOP) Limits",0.303595013343731
"Section H.  Enhanced Medication Therapy Management (MTM) Model","Section I Innovations in Health Plan Design",0.302585965963793
"Section II Medicare Advantage (MA) Uniformity Flexibility","Section III Part D Benefit Parameters for Non Defined Standard Plans",0.30196452783189
"Section III Timely Updates to LIS Status Based on Best Available Evidence","Section E.  Estimated Total Covered Part D Spending at Out of Pocket Threshold for Applicable Beneficiaries",0.301928875435407
"Section II Cost Plan Transition to MA under MACRA","Section II Part C Cost Sharing Standards",0.301787615523016
"Section I Annual Calendar","Section II Improving Beneficiary Communications and Reducing Burden for Integrated D SNPs",0.301236218847614
"Section II Total Beneficiary Cost (TBC)","Section B.  Calculation of Fee for Service Cost",0.30077856189561
"Section III LIS Enrollee Cost sharing for Out of Network Part D Drugs","Section E.  Estimated Total Covered Part D Spending at Out of Pocket Threshold for Applicable Beneficiaries",0.2996530912041
"Section D.  Retiree Drug Subsidy Amounts","Section E.  Estimated Total Covered Part D Spending at Out of Pocket Threshold for Applicable Beneficiaries",0.299449505303144
"Section II Health Related Supplemental Benefits","Section II Part C Cost Sharing Standards",0.299421930914313
"Section III Timely Updates to LIS Status Based on Best Available Evidence","Section E.  Reduced Coinsurance for Applicable Beneficiaries in the Coverage Gap",0.298934181295643
"Section II Medicare Advantage (MA) Uniformity Flexibility","Section E.  Clinical Trials",0.297415885175257
"Section II Employer Group Waiver Plans","Section I Plan Corrections",0.297133104639461
"Section D.  Retiree Drug Subsidy Amounts","Section E.  Reduced Coinsurance for Applicable Beneficiaries in the Coverage Gap",0.296940104816421
"Section I Annual Calendar","Section II Overview of CY 2019 Benefits and Bid Review",0.296850077139401
"Section II Medicare Advantage (MA) Uniformity Flexibility","Section II Cost Plan Transition to MA under MACRA",0.295552680674971
"Section I Annual Calendar","Section III Part D Benefit Parameters for Non Defined Standard Plans",0.295384225419979
"Section II Medicare Advantage (MA) Uniformity Flexibility","Section II Per Member Per Month (PMPM) Actuarial Equivalent (AE) Cost Sharing Limits",0.295162453695677
"Section E.  Estimated Total Covered Part D Spending at Out of Pocket Threshold for Applicable Beneficiaries","Section II Maximum Out of Pocket (MOOP) Limits",0.295069547713941
"Section II Overview of CY 2019 Benefits and Bid Review","Section II Health Related Supplemental Benefits",0.293628971565022
"Section II Employer Group Waiver Plans","Section II Overview of CY 2019 Benefits and Bid Review",0.292543555790836
"Section III Tier Composition","Section III CY 2019 Formulary Submission Window",0.292493406248531
"Section H.  Enhanced Medication Therapy Management (MTM) Model","Section II Total Beneficiary Cost (TBC)",0.292383644378415
"Section III Benefit Review","Section II Medicare Advantage (MA) Uniformity Flexibility",0.291817711767641
"Section II Medicare Advantage (MA) Uniformity Flexibility","Section II Maximum Out of Pocket (MOOP) Limits",0.290227376602582
"Section III Benefit Review","Section E.  Reduced Coinsurance for Applicable Beneficiaries in the Coverage Gap",0.28988157301201
"Section III Benefit Review","Section E.  Estimated Total Covered Part D Spending at Out of Pocket Threshold for Applicable Beneficiaries",0.289460616931451
"Section D.  Retiree Drug Subsidy Amounts","Section II Maximum Out of Pocket (MOOP) Limits",0.288291334140823
"Section II Overview of CY 2019 Benefits and Bid Review","Section E.  Reduced Coinsurance for Applicable Beneficiaries in the Coverage Gap",0.287492073507444
"Section III Benefit Review","Section II Medicare Advantage (MA) Segmented Service Area Options",0.287387761073216
"Section II Meaningful Difference (Substantially Duplicative Plan Offerings)","Section II Overview of CY 2019 Benefits and Bid Review",0.286891449772973
"Section II Part C Optional Supplemental Benefits","Section I Incomplete and Inaccurate Bid Submissions",0.286653036317976
"Section III LIS Enrollee Cost sharing for Out of Network Part D Drugs","Section II Transparency   Timeliness with Prior Authorization Processes",0.286476814973291
"Section III Medication Therapy Management (MTM) Annual Cost Threshold","Section II Cost Plan Competition Requirements",0.285928325798982
"Section II Overview of CY 2019 Benefits and Bid Review","Section II Improving Beneficiary Communications and Reducing Burden for Integrated D SNPs",0.285778566340502
"Section II Meaningful Difference (Substantially Duplicative Plan Offerings)","Section II Medicare Advantage (MA) Uniformity Flexibility",0.285705410373006
"Section II Tiered Cost Sharing of Medical Benefits","Section E.  Estimated Total Covered Part D Spending at Out of Pocket Threshold for Applicable Beneficiaries",0.285073251915815
"Section I Enforcement Actions for Provider Directories","Section II Transparency   Timeliness with Prior Authorization Processes",0.284811977300788
"Section II Cost Plan Transition to MA under MACRA","Section II Per Member Per Month (PMPM) Actuarial Equivalent (AE) Cost Sharing Limits",0.284769100712788
"Section E.  Reduced Coinsurance for Applicable Beneficiaries in the Coverage Gap","Section A.  MA Benchmark  Quality Bonus Payments and Rebate",0.284745935280671
"Section III LIS Enrollee Cost sharing for Out of Network Part D Drugs","Section E.  Clinical Trials",0.284095472120644
"Section II Medicare Advantage (MA) Segmented Service Area Options","Section II Tiered Cost Sharing of Medical Benefits",0.283372693385386
"Section III Part D Benefit Parameters for Non Defined Standard Plans","Section II Total Beneficiary Cost (TBC)",0.283051827911363
"Section III Medication Therapy Management (MTM) Annual Cost Threshold","Section E.  Reduced Coinsurance for Applicable Beneficiaries in the Coverage Gap",0.282689115167728
"Section II Improving Beneficiary Communications and Reducing Burden for Integrated D SNPs","Section IV   Medicare Medicaid Plans",0.282104277936212
"Section B.  FFS Growth Percentage","Section A.  MA Benchmark  Quality Bonus Payments and Rebate",0.2819630641817
"Section II Per Member Per Month (PMPM) Actuarial Equivalent (AE) Cost Sharing Limits","Section E.  Clinical Trials",0.281613690012291
"Section II Medicare Advantage (MA) Uniformity Flexibility","Section II Total Beneficiary Cost (TBC)",0.281532491393625
"Section II Overview of CY 2019 Benefits and Bid Review","Section II Enhanced Disease Management (EDM) for Dual Eligible Special Needs Plans (D SNPs) and Institutional Special Needs Plans (I SNPs)",0.28152686270189
"Section II Cost Plan Competition Requirements","Section E.  Reduced Coinsurance for Applicable Beneficiaries in the Coverage Gap",0.281375816797501
"Section I Annual Calendar","Section II Cost Plan Competition Requirements",0.281297218767265
"Section II Overview of CY 2019 Benefits and Bid Review","Section IV   Medicare Medicaid Plans",0.28097627835006
"Section II Part C Cost Sharing Standards","Section IV   Medicare Medicaid Plans",0.280921467325618
"Section I Annual Calendar","Section II Part C Cost Sharing Standards",0.280714366412275
"Section A.  Update of the RxHCC Model","Section B.  Calculation of Fee for Service Cost",0.280680912853604
"Section F.  Dispensing Fees and Vaccine Administration Fees for Applicable Drugs in the Coverage Gap","Section III Part D Benefit Parameters for Non Defined Standard Plans",0.280541803843391
"Section I Incomplete and Inaccurate Bid Submissions","Section III CY 2019 Formulary Submission Window",0.279643674462003
"Section II Transparency   Timeliness with Prior Authorization Processes","Section II Medicare Advantage (MA) Uniformity Flexibility",0.279589425454561
"Section II Per Member Per Month (PMPM) Actuarial Equivalent (AE) Cost Sharing Limits","Section II Total Beneficiary Cost (TBC)",0.279445057929098
"Section E.  Reduced Coinsurance for Applicable Beneficiaries in the Coverage Gap","Section II Maximum Out of Pocket (MOOP) Limits",0.279373766007407
"Section III Timely Updates to LIS Status Based on Best Available Evidence","Section II Overview of CY 2019 Benefits and Bid Review",0.278991255326959
"Section II Overview of CY 2019 Benefits and Bid Review","Section E.  Clinical Trials",0.277476054180533
"Section III Part D Benefit Parameters for Non Defined Standard Plans","Section III CY 2019 Formulary Submission Window",0.276730167869748
"Section II Parts A and B Cost sharing for Individuals Enrolled in the Qualified Medicare Beneficiary (QMB) Program","Section II Improving Beneficiary Communications and Reducing Burden for Integrated D SNPs",0.275817505855531
"Section II Employer Group Waiver Plans","Section II Cost Plan Competition Requirements",0.274800500305611
"Section N.  Encounter Data as a Diagnosis Source for 2019","Section II Encounter Data Listening Forums  Monitoring and Compliance Activities",0.27458230294393
"Section II Tiered Cost Sharing of Medical Benefits","Section E.  Reduced Coinsurance for Applicable Beneficiaries in the Coverage Gap",0.274577014241038
"Section D.  Medicare Part D Benefit Parameters  Annual Adjustments for Defined Standard Benefit in 2019","Section II Part C Cost Sharing Standards",0.274477622022423
"Section II Cost Plan Transition to MA under MACRA","Section IV   Medicare Medicaid Plans",0.273346132874099
"Section III LIS Enrollee Cost sharing for Out of Network Part D Drugs","Section II Medicare Advantage (MA) Uniformity Flexibility",0.273268324121014
"Section E.  Reduced Coinsurance for Applicable Beneficiaries in the Coverage Gap","Section E.  Clinical Trials",0.272812730979426
"Section II Plans with Low Enrollment","Section II Cost Plan Transition to MA under MACRA",0.272708565152866
"Section II Cost Plan Competition Requirements","Section IV   Medicare Medicaid Plans",0.272084561812941
"Section I Annual Calendar","Section II Cost Plan Transition to MA under MACRA",0.271927824672575
"Section II Tiered Cost Sharing of Medical Benefits","Section II Parts A and B Cost sharing for Individuals Enrolled in the Qualified Medicare Beneficiary (QMB) Program",0.270737085418285
"Section D.  Medicare Part D Benefit Parameters  Annual Adjustments for Defined Standard Benefit in 2019","Section II Maximum Out of Pocket (MOOP) Limits",0.270715919143405
"Section III LIS Enrollee Cost sharing for Out of Network Part D Drugs","Section II Tiered Cost Sharing of Medical Benefits",0.26980539002746
"Section II Total Beneficiary Cost (TBC)","Section I Incomplete and Inaccurate Bid Submissions",0.269239334045458
"Section III Medication Therapy Management (MTM) Annual Cost Threshold","Section III Improving Access to Part D Vaccines",0.269104002151364
"Section II Outpatient Observation Services","Section II Medicare Diabetes Prevention Program (MDPP) Services Clarification",0.268991106197506
"Section III Specialty Tiers","Section II Tiered Cost Sharing of Medical Benefits",0.268722785825293
"Section II Transparency   Timeliness with Prior Authorization Processes","Section II Tiered Cost Sharing of Medical Benefits",0.26858567535878
"Section D.  Medicare Part D Benefit Parameters  Annual Adjustments for Defined Standard Benefit in 2019","Section III Improving Access to Part D Vaccines",0.268204580336005
"Section D.  Retiree Drug Subsidy Amounts","Section D.  Medicare Part D Benefit Parameters  Annual Adjustments for Defined Standard Benefit in 2019",0.267050105392081
"Section H.  Enhanced Medication Therapy Management (MTM) Model","Section O.  Quality Payment Program",0.267027210158384
"Section II Coverage of Supervised Exercise Therapy (SET) for Symptomatic Peripheral Artery Disease (PAD)","Section E.  Clinical Trials",0.266716562198335
"Section D.  ESRD Rates","Section L.  Normalization Factors",0.265764568002883
"Section III Timely Updates to LIS Status Based on Best Available Evidence","Section III LIS Enrollee Cost sharing for Out of Network Part D Drugs",0.26553084641492
"Section II Employer Group Waiver Plans","Section II Cost Plan Transition to MA under MACRA",0.265279054538645
