"document","topic","gamma"
"Section E.  Estimated Total Covered Part D Spending at Out of Pocket Threshold for Applicable Beneficiaries",1,3.60089265909909e-05
"Section I Innovations in Health Plan Design",1,4.11618437314578e-05
"Section II Encounter Data Listening Forums  Monitoring and Compliance Activities",1,4.21133920825373e-05
"Section III Tier Composition",1,5.95510303005239e-05
"Section J.  Frailty Adjustment for PACE organizations and FIDE SNPs",1,6.15634954470222e-05
"Section E.  Reduced Coinsurance for Applicable Beneficiaries in the Coverage Gap",1,4.62081807993699e-05
"Section III Expanding the Part D OTC Program",1,7.1652794069375e-05
"Section D.  ESRD Rates",1,4.74107540836617e-05
"Section I Plan Corrections",1,5.36996867817016e-05
"Section A.  Update of the RxHCC Model",1,2.95778305546297e-05
"Section II Tiered Cost Sharing of Medical Benefits",1,7.45864479474393e-05
"Section II Special Needs Plan (SNP) Legislative Sunset Provision",1,0.000122063754382239
"Section III Part D Mail Order Refill Consent Policy  Solicitation for Comments",1,4.66022022579077e-05
"Section II Cost Plan Transition to MA under MACRA",1,0.000100697695387386
"Section II Plans with Low Enrollment",1,6.64273202463566e-05
"Section III Low Enrollment Plans (Stand alone PDPs only)",1,8.56972373261519e-05
"Section III Part D Benefit Parameters for Non Defined Standard Plans",1,4.82478581671391e-05
"Section M.  Medical Loss Ratio Credibility Adjustment",1,0.000113213655097343
"Section II Medicare Advantage (MA) Uniformity Flexibility",1,4.56294850919695e-05
"Section II Medicare Diabetes Prevention Program (MDPP) Services Clarification",1,9.14320584075446e-05
"Section B.  Encounter Data as a Diagnosis Source for 2019",1,0.000139158099384417
"Section B.  FFS Growth Percentage",1,5.24122117620592e-05
"Section C.  IME Phase Out",1,9.54231032264161e-05
"Section II Enhanced Disease Management (EDM) for Dual Eligible Special Needs Plans (D SNPs) and Institutional Special Needs Plans (I SNPs)",1,0.00011091598581389
"Section II Overview of CY 2019 Benefits and Bid Review",1,5.85933437585667e-05
"Section II Transparency   Timeliness with Prior Authorization Processes",1,8.63744368086631e-05
"Section III LIS Enrollee Cost sharing for Out of Network Part D Drugs",1,6.68334879873538e-05
"Section D.  Retiree Drug Subsidy Amounts",1,0.000200386467999065
"Section I Plan Finder Civil Money Penalty (CMP) Icon or Other Type of Notice",1,8.43742031320382e-05
"Section II Cost Plan Competition Requirements",1,0.000152773111076938
"Section II Medicare Advantage (MA) Segmented Service Area Options",1,0.000166757662467623
"Section F.  Location of Network Areas for PFFS Plans in Plan Year 2020",1,0.000103559874911674
"Section H.  Enhanced Medication Therapy Management (MTM) Model",1,7.50989057399675e-05
"Section I Enforcement Actions for Provider Directories",1,0.000130829918827662
"Section II Rewards and Incentives for Completion of a Health Risk Assessment (HRA)",1,7.07255290046806e-05
"Section II Special Needs Plan (SNP) Specific Networks Research and Development",1,0.000189939973368569
"Section III Coordination of Benefits (COB) User Fee",1,9.97784722472135e-05
"Section III Medication Therapy Management (MTM) Annual Cost Threshold",1,0.000132414842335876
"Section K.  Medicare Advantage Coding Pattern Adjustment",1,0.000135702752071127
"Section II Outpatient Observation Services",1,0.000142794008653935
"Section II Part C Optional Supplemental Benefits",1,0.000148618649038368
"Section F.  Dispensing Fees and Vaccine Administration Fees for Applicable Drugs in the Coverage Gap",1,0.000135702752071123
"Section I Annual Calendar",1,6.98219569629424e-05
"Section III Specialty Tiers",1,0.00016182009753009
"Section N.  Encounter Data as a Diagnosis Source for 2019",1,0.000129282487661469
"Section A.  MA Growth Percentage",1,0.000189939973368563
"Section G.  Part D Calendar Year Employer Group Waiver Plans Prospective Reinsurance Payment Amount",1,0.000263087847876903
"Section I New Medicare Card Project (formerly the Social Security Number Removal Initiative  SSNRI)",1,0.000157166518908083
"Section II Coverage of Supervised Exercise Therapy (SET) for Symptomatic Peripheral Artery Disease (PAD)",1,0.000146625012707643
"Section II Meaningful Difference (Substantially Duplicative Plan Offerings)",1,0.000161820097530082
"Section III Benefit Review",1,0.000159459363544175
"Section III Timely Updates to LIS Status Based on Best Available Evidence",1,0.000130829918827654
"Section H.  CMS HCC Risk Adjustment Model for CY 2019",1,0.000276393081970318
"Section II Employer Group Waiver Plans",1,0.000269576391233079
"Section I Enhancements to the 2019 Star Ratings and Future Measurement Concepts",2,1.16496990498599e-06
"Section III Improving Drug Utilization Review Controls in Medicare Part D",2,3.839875531186e-06
"Section I Validation Audits",2,1.01062544544363e-05
"Section B.  Calculation of Fee for Service Cost",2,7.13682816008965e-06
"Section G.  MA Employer Group Waiver Plans",2,1.09135063801584e-05
"Section L.  Normalization Factors",2,1.47998589703632e-05
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate",2,9.75451187442764e-06
"Section IV   Medicare Medicaid Plans",2,7.10897796650301e-06
"Section I.  ESRD Risk Adjustment Model for CY 2019",2,1.49414754090916e-05
"Section III CY 2019 Formulary Submission Window",2,1.57601314758414e-05
"Section I Incomplete and Inaccurate Bid Submissions",2,2.93396495836738e-05
"Section E.  Clinical Trials",2,2.8722859822573e-05
"Section II Improving Beneficiary Communications and Reducing Burden for Integrated D SNPs",2,1.96396598488041e-05
"Section II Part C Cost Sharing Standards",2,1.92251363045967e-05
"Section II Total Beneficiary Cost (TBC)",2,1.71176006736464e-05
"Section III Using the Best Available Information when making B vs D Coverage Determinations for Immunosuppressants and Inhalation Durable Medical Equipment (DME) Supply Drugs",2,2.69522331212183e-05
"Section C.  Part D Risk Sharing",2,3.30676128532021e-05
"Section II Maximum Out of Pocket (MOOP) Limits",2,3.23818605885489e-05
"Section I Audit of the Sponsoring Organization s Compliance Program Effectiveness",2,4.60136581393361e-05
"Section O.  Quality Payment Program",2,3.2770194553718e-05
"Section II Health Related Supplemental Benefits",2,4.4696544291219e-05
"Section II Parts A and B Cost sharing for Individuals Enrolled in the Qualified Medicare Beneficiary (QMB) Program",2,3.95245774866131e-05
"Section II Per Member Per Month (PMPM) Actuarial Equivalent (AE) Cost Sharing Limits",2,5.02438943485932e-05
"Section III Improving Access to Part D Vaccines",2,3.39931663824511e-05
"Section D.  Medicare Part D Benefit Parameters  Annual Adjustments for Defined Standard Benefit in 2019",2,1.67503526653697e-05
"Section E.  Estimated Total Covered Part D Spending at Out of Pocket Threshold for Applicable Beneficiaries",2,3.60089265909831e-05
"Section I Innovations in Health Plan Design",2,4.11618437314669e-05
"Section II Encounter Data Listening Forums  Monitoring and Compliance Activities",2,4.21133920825277e-05
"Section III Tier Composition",2,5.95510303005228e-05
"Section J.  Frailty Adjustment for PACE organizations and FIDE SNPs",2,6.15634954470265e-05
"Section E.  Reduced Coinsurance for Applicable Beneficiaries in the Coverage Gap",2,4.62081807993682e-05
"Section III Expanding the Part D OTC Program",2,7.16527940693634e-05
"Section D.  ESRD Rates",2,4.74107540837852e-05
"Section I Plan Corrections",2,5.36996867816251e-05
"Section A.  Update of the RxHCC Model",2,2.95778305546727e-05
"Section II Tiered Cost Sharing of Medical Benefits",2,7.45864479474358e-05
"Section II Special Needs Plan (SNP) Legislative Sunset Provision",2,0.000122063754382232
"Section III Part D Mail Order Refill Consent Policy  Solicitation for Comments",2,4.66022022579469e-05
"Section II Cost Plan Transition to MA under MACRA",2,0.000100697695387379
"Section II Plans with Low Enrollment",2,6.64273202463542e-05
"Section III Low Enrollment Plans (Stand alone PDPs only)",2,8.56972373261511e-05
"Section III Part D Benefit Parameters for Non Defined Standard Plans",2,4.82478581671313e-05
"Section M.  Medical Loss Ratio Credibility Adjustment",2,0.000113213655097333
"Section II Medicare Advantage (MA) Uniformity Flexibility",2,4.56294850919574e-05
"Section II Medicare Diabetes Prevention Program (MDPP) Services Clarification",2,9.14320584075406e-05
"Section B.  Encounter Data as a Diagnosis Source for 2019",2,0.000139158099384412
"Section B.  FFS Growth Percentage",2,5.24122117620996e-05
"Section C.  IME Phase Out",2,9.54231032264048e-05
"Section II Enhanced Disease Management (EDM) for Dual Eligible Special Needs Plans (D SNPs) and Institutional Special Needs Plans (I SNPs)",2,0.000110915985813884
"Section II Overview of CY 2019 Benefits and Bid Review",2,5.85933437585632e-05
"Section II Transparency   Timeliness with Prior Authorization Processes",2,8.6374436808653e-05
"Section III LIS Enrollee Cost sharing for Out of Network Part D Drugs",2,6.68334879872807e-05
"Section D.  Retiree Drug Subsidy Amounts",2,0.00020038646799906
"Section I Plan Finder Civil Money Penalty (CMP) Icon or Other Type of Notice",2,8.43742031320295e-05
"Section II Cost Plan Competition Requirements",2,0.000152773111076939
"Section II Medicare Advantage (MA) Segmented Service Area Options",2,0.000166757662467624
"Section F.  Location of Network Areas for PFFS Plans in Plan Year 2020",2,0.000103559874911669
"Section H.  Enhanced Medication Therapy Management (MTM) Model",2,7.50989057399506e-05
"Section I Enforcement Actions for Provider Directories",2,0.000130829918827655
"Section II Rewards and Incentives for Completion of a Health Risk Assessment (HRA)",2,7.07255290046783e-05
"Section II Special Needs Plan (SNP) Specific Networks Research and Development",2,0.00018993997336856
"Section III Coordination of Benefits (COB) User Fee",2,9.97784722472166e-05
"Section III Medication Therapy Management (MTM) Annual Cost Threshold",2,0.000132414842335866
"Section K.  Medicare Advantage Coding Pattern Adjustment",2,0.993350565148515
"Section II Outpatient Observation Services",2,0.000142794008653931
"Section II Part C Optional Supplemental Benefits",2,0.000148618649038361
"Section F.  Dispensing Fees and Vaccine Administration Fees for Applicable Drugs in the Coverage Gap",2,0.000135702752071116
"Section I Annual Calendar",2,6.9821956962847e-05
"Section III Specialty Tiers",2,0.000161820097530089
"Section N.  Encounter Data as a Diagnosis Source for 2019",2,0.000129282487661473
"Section A.  MA Growth Percentage",2,0.00018993997336856
"Section G.  Part D Calendar Year Employer Group Waiver Plans Prospective Reinsurance Payment Amount",2,0.000263087847876894
"Section I New Medicare Card Project (formerly the Social Security Number Removal Initiative  SSNRI)",2,0.000157166518908067
"Section II Coverage of Supervised Exercise Therapy (SET) for Symptomatic Peripheral Artery Disease (PAD)",2,0.000146625012707641
"Section II Meaningful Difference (Substantially Duplicative Plan Offerings)",2,0.000161820097530079
"Section III Benefit Review",2,0.000159459363544176
"Section III Timely Updates to LIS Status Based on Best Available Evidence",2,0.00013082991882765
"Section H.  CMS HCC Risk Adjustment Model for CY 2019",2,0.000276393081970316
"Section II Employer Group Waiver Plans",2,0.000269576391233061
"Section I Enhancements to the 2019 Star Ratings and Future Measurement Concepts",3,1.1649699050715e-06
"Section III Improving Drug Utilization Review Controls in Medicare Part D",3,3.83987553119808e-06
"Section I Validation Audits",3,1.01062544544202e-05
"Section B.  Calculation of Fee for Service Cost",3,7.13682816059025e-06
"Section G.  MA Employer Group Waiver Plans",3,1.09135063801327e-05
"Section L.  Normalization Factors",3,1.47998589703487e-05
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate",3,9.75451187439892e-06
"Section IV   Medicare Medicaid Plans",3,7.10897796649292e-06
"Section I.  ESRD Risk Adjustment Model for CY 2019",3,1.49414754090802e-05
"Section III CY 2019 Formulary Submission Window",3,1.57601314758717e-05
"Section I Incomplete and Inaccurate Bid Submissions",3,2.9339649583781e-05
"Section E.  Clinical Trials",3,2.87228598225741e-05
"Section II Improving Beneficiary Communications and Reducing Burden for Integrated D SNPs",3,1.96396598488621e-05
"Section II Part C Cost Sharing Standards",3,1.92251363046449e-05
"Section II Total Beneficiary Cost (TBC)",3,1.71176006736255e-05
"Section III Using the Best Available Information when making B vs D Coverage Determinations for Immunosuppressants and Inhalation Durable Medical Equipment (DME) Supply Drugs",3,2.69522331212286e-05
"Section C.  Part D Risk Sharing",3,3.3067612853189e-05
"Section II Maximum Out of Pocket (MOOP) Limits",3,3.23818605885827e-05
"Section I Audit of the Sponsoring Organization s Compliance Program Effectiveness",3,4.60136581393316e-05
"Section O.  Quality Payment Program",3,3.27701945537422e-05
"Section II Health Related Supplemental Benefits",3,4.46965442913389e-05
"Section II Parts A and B Cost sharing for Individuals Enrolled in the Qualified Medicare Beneficiary (QMB) Program",3,3.95245774866132e-05
"Section II Per Member Per Month (PMPM) Actuarial Equivalent (AE) Cost Sharing Limits",3,5.02438943486006e-05
"Section III Improving Access to Part D Vaccines",3,3.39931663824989e-05
"Section D.  Medicare Part D Benefit Parameters  Annual Adjustments for Defined Standard Benefit in 2019",3,1.67503526653904e-05
"Section E.  Estimated Total Covered Part D Spending at Out of Pocket Threshold for Applicable Beneficiaries",3,3.6008926590988e-05
"Section I Innovations in Health Plan Design",3,4.11618437315894e-05
"Section II Encounter Data Listening Forums  Monitoring and Compliance Activities",3,4.21133920825593e-05
"Section III Tier Composition",3,5.95510303005233e-05
"Section J.  Frailty Adjustment for PACE organizations and FIDE SNPs",3,6.15634954470141e-05
"Section E.  Reduced Coinsurance for Applicable Beneficiaries in the Coverage Gap",3,4.62081807993792e-05
"Section III Expanding the Part D OTC Program",3,7.16527940693736e-05
"Section D.  ESRD Rates",3,4.74107540836728e-05
"Section I Plan Corrections",3,5.36996867816582e-05
"Section A.  Update of the RxHCC Model",3,2.95778305546592e-05
"Section II Tiered Cost Sharing of Medical Benefits",3,7.45864479474327e-05
"Section II Special Needs Plan (SNP) Legislative Sunset Provision",3,0.000122063754382226
"Section III Part D Mail Order Refill Consent Policy  Solicitation for Comments",3,4.6602202257942e-05
"Section II Cost Plan Transition to MA under MACRA",3,0.000100697695387379
"Section II Plans with Low Enrollment",3,6.6427320246363e-05
"Section III Low Enrollment Plans (Stand alone PDPs only)",3,8.5697237326155e-05
"Section III Part D Benefit Parameters for Non Defined Standard Plans",3,4.82478581671883e-05
"Section M.  Medical Loss Ratio Credibility Adjustment",3,0.00011321365509734
"Section II Medicare Advantage (MA) Uniformity Flexibility",3,4.56294850920809e-05
"Section II Medicare Diabetes Prevention Program (MDPP) Services Clarification",3,9.14320584075467e-05
"Section B.  Encounter Data as a Diagnosis Source for 2019",3,0.000139158099384415
"Section B.  FFS Growth Percentage",3,5.24122117620625e-05
"Section C.  IME Phase Out",3,9.54231032264091e-05
"Section II Enhanced Disease Management (EDM) for Dual Eligible Special Needs Plans (D SNPs) and Institutional Special Needs Plans (I SNPs)",3,0.99456511669512
"Section II Overview of CY 2019 Benefits and Bid Review",3,5.85933437585669e-05
"Section II Transparency   Timeliness with Prior Authorization Processes",3,8.63744368086583e-05
"Section III LIS Enrollee Cost sharing for Out of Network Part D Drugs",3,6.68334879872823e-05
"Section D.  Retiree Drug Subsidy Amounts",3,0.000200386467999063
"Section I Plan Finder Civil Money Penalty (CMP) Icon or Other Type of Notice",3,8.43742031320326e-05
"Section II Cost Plan Competition Requirements",3,0.000152773111076933
"Section II Medicare Advantage (MA) Segmented Service Area Options",3,0.000166757662467626
"Section F.  Location of Network Areas for PFFS Plans in Plan Year 2020",3,0.000103559874911674
"Section H.  Enhanced Medication Therapy Management (MTM) Model",3,0.996320153618742
"Section I Enforcement Actions for Provider Directories",3,0.000130829918827656
"Section II Rewards and Incentives for Completion of a Health Risk Assessment (HRA)",3,7.07255290046789e-05
"Section II Special Needs Plan (SNP) Specific Networks Research and Development",3,0.000189939973368554
"Section III Coordination of Benefits (COB) User Fee",3,9.97784722472163e-05
"Section III Medication Therapy Management (MTM) Annual Cost Threshold",3,0.000132414842335866
"Section K.  Medicare Advantage Coding Pattern Adjustment",3,0.000135702752071119
"Section II Outpatient Observation Services",3,0.000142794008653933
"Section II Part C Optional Supplemental Benefits",3,0.000148618649038349
"Section F.  Dispensing Fees and Vaccine Administration Fees for Applicable Drugs in the Coverage Gap",3,0.00013570275207112
"Section I Annual Calendar",3,6.98219569628398e-05
"Section III Specialty Tiers",3,0.000161820097530087
"Section N.  Encounter Data as a Diagnosis Source for 2019",3,0.000129282487661465
"Section A.  MA Growth Percentage",3,0.000189939973368565
"Section G.  Part D Calendar Year Employer Group Waiver Plans Prospective Reinsurance Payment Amount",3,0.000263087847876903
"Section I New Medicare Card Project (formerly the Social Security Number Removal Initiative  SSNRI)",3,0.000157166518908074
"Section II Coverage of Supervised Exercise Therapy (SET) for Symptomatic Peripheral Artery Disease (PAD)",3,0.206870773421634
"Section II Meaningful Difference (Substantially Duplicative Plan Offerings)",3,0.000161820097530082
"Section III Benefit Review",3,0.000159459363544172
"Section III Timely Updates to LIS Status Based on Best Available Evidence",3,0.00013082991882765
"Section H.  CMS HCC Risk Adjustment Model for CY 2019",3,0.000276393081970319
"Section II Employer Group Waiver Plans",3,0.000269576391233061
"Section I Enhancements to the 2019 Star Ratings and Future Measurement Concepts",4,1.16496990501358e-06
"Section III Improving Drug Utilization Review Controls in Medicare Part D",4,3.83987553117969e-06
"Section I Validation Audits",4,1.01062544544374e-05
"Section B.  Calculation of Fee for Service Cost",4,7.13682816056714e-06
"Section G.  MA Employer Group Waiver Plans",4,1.09135063801075e-05
"Section L.  Normalization Factors",4,1.47998589703263e-05
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate",4,9.75451187440384e-06
"Section IV   Medicare Medicaid Plans",4,7.10897796650817e-06
"Section I.  ESRD Risk Adjustment Model for CY 2019",4,1.49414754090815e-05
"Section III CY 2019 Formulary Submission Window",4,1.57601314758888e-05
"Section I Incomplete and Inaccurate Bid Submissions",4,2.9339649583764e-05
"Section E.  Clinical Trials",4,2.8722859822562e-05
"Section II Improving Beneficiary Communications and Reducing Burden for Integrated D SNPs",4,1.96396598488479e-05
"Section II Part C Cost Sharing Standards",4,1.9225136304629e-05
"Section II Total Beneficiary Cost (TBC)",4,1.71176006736107e-05
"Section III Using the Best Available Information when making B vs D Coverage Determinations for Immunosuppressants and Inhalation Durable Medical Equipment (DME) Supply Drugs",4,2.69522331212111e-05
"Section C.  Part D Risk Sharing",4,3.30676128531891e-05
"Section II Maximum Out of Pocket (MOOP) Limits",4,3.23818605885557e-05
"Section I Audit of the Sponsoring Organization s Compliance Program Effectiveness",4,4.60136581393974e-05
"Section O.  Quality Payment Program",4,3.27701945536787e-05
"Section II Health Related Supplemental Benefits",4,4.46965442912295e-05
"Section II Parts A and B Cost sharing for Individuals Enrolled in the Qualified Medicare Beneficiary (QMB) Program",4,3.95245774866957e-05
"Section II Per Member Per Month (PMPM) Actuarial Equivalent (AE) Cost Sharing Limits",4,5.0243894348595e-05
"Section III Improving Access to Part D Vaccines",4,3.3993166382463e-05
"Section D.  Medicare Part D Benefit Parameters  Annual Adjustments for Defined Standard Benefit in 2019",4,1.67503526653517e-05
"Section E.  Estimated Total Covered Part D Spending at Out of Pocket Threshold for Applicable Beneficiaries",4,3.60089265909805e-05
"Section I Innovations in Health Plan Design",4,4.11618437314612e-05
"Section II Encounter Data Listening Forums  Monitoring and Compliance Activities",4,0.997936443787956
"Section III Tier Composition",4,5.95510303005243e-05
"Section J.  Frailty Adjustment for PACE organizations and FIDE SNPs",4,6.15634954470093e-05
"Section E.  Reduced Coinsurance for Applicable Beneficiaries in the Coverage Gap",4,4.62081807993685e-05
"Section III Expanding the Part D OTC Program",4,7.1652794069367e-05
"Section D.  ESRD Rates",4,4.74107540836812e-05
"Section I Plan Corrections",4,5.36996867817401e-05
"Section A.  Update of the RxHCC Model",4,2.95778305546176e-05
"Section II Tiered Cost Sharing of Medical Benefits",4,7.45864479474351e-05
"Section II Special Needs Plan (SNP) Legislative Sunset Provision",4,0.000122063754382234
"Section III Part D Mail Order Refill Consent Policy  Solicitation for Comments",4,4.6602202257961e-05
"Section II Cost Plan Transition to MA under MACRA",4,0.000100697695387379
"Section II Plans with Low Enrollment",4,6.64273202463565e-05
"Section III Low Enrollment Plans (Stand alone PDPs only)",4,8.56972373261515e-05
"Section III Part D Benefit Parameters for Non Defined Standard Plans",4,4.82478581671482e-05
"Section M.  Medical Loss Ratio Credibility Adjustment",4,0.000113213655097337
"Section II Medicare Advantage (MA) Uniformity Flexibility",4,4.5629485091961e-05
"Section II Medicare Diabetes Prevention Program (MDPP) Services Clarification",4,9.14320584075376e-05
"Section B.  Encounter Data as a Diagnosis Source for 2019",4,0.000139158099384404
"Section B.  FFS Growth Percentage",4,5.24122117620696e-05
"Section C.  IME Phase Out",4,9.54231032264119e-05
"Section II Enhanced Disease Management (EDM) for Dual Eligible Special Needs Plans (D SNPs) and Institutional Special Needs Plans (I SNPs)",4,0.000110915985813887
"Section II Overview of CY 2019 Benefits and Bid Review",4,5.85933437585719e-05
"Section II Transparency   Timeliness with Prior Authorization Processes",4,8.63744368086504e-05
"Section III LIS Enrollee Cost sharing for Out of Network Part D Drugs",4,6.68334879872788e-05
"Section D.  Retiree Drug Subsidy Amounts",4,0.00020038646799906
"Section I Plan Finder Civil Money Penalty (CMP) Icon or Other Type of Notice",4,8.43742031320299e-05
"Section II Cost Plan Competition Requirements",4,0.000152773111076938
"Section II Medicare Advantage (MA) Segmented Service Area Options",4,0.000166757662467626
"Section F.  Location of Network Areas for PFFS Plans in Plan Year 2020",4,0.000103559874911676
"Section H.  Enhanced Medication Therapy Management (MTM) Model",4,7.50989057399583e-05
"Section I Enforcement Actions for Provider Directories",4,0.00013082991882764
"Section II Rewards and Incentives for Completion of a Health Risk Assessment (HRA)",4,7.07255290047132e-05
"Section II Special Needs Plan (SNP) Specific Networks Research and Development",4,0.000189939973368566
"Section III Coordination of Benefits (COB) User Fee",4,9.97784722472181e-05
"Section III Medication Therapy Management (MTM) Annual Cost Threshold",4,0.000132414842335871
"Section K.  Medicare Advantage Coding Pattern Adjustment",4,0.000135702752071126
"Section II Outpatient Observation Services",4,0.000142794008653928
"Section II Part C Optional Supplemental Benefits",4,0.000148618649038363
"Section F.  Dispensing Fees and Vaccine Administration Fees for Applicable Drugs in the Coverage Gap",4,0.000135702752071123
"Section I Annual Calendar",4,6.98219569628459e-05
"Section III Specialty Tiers",4,0.000161820097530089
"Section N.  Encounter Data as a Diagnosis Source for 2019",4,0.000129282487661466
"Section A.  MA Growth Percentage",4,0.000189939973368568
"Section G.  Part D Calendar Year Employer Group Waiver Plans Prospective Reinsurance Payment Amount",4,0.000263087847876904
"Section I New Medicare Card Project (formerly the Social Security Number Removal Initiative  SSNRI)",4,0.000157166518908076
"Section II Coverage of Supervised Exercise Therapy (SET) for Symptomatic Peripheral Artery Disease (PAD)",4,0.00014662501270764
"Section II Meaningful Difference (Substantially Duplicative Plan Offerings)",4,0.000161820097530088
"Section III Benefit Review",4,0.000159459363544171
"Section III Timely Updates to LIS Status Based on Best Available Evidence",4,0.000130829918827645
"Section H.  CMS HCC Risk Adjustment Model for CY 2019",4,0.000276393081970318
"Section II Employer Group Waiver Plans",4,0.000269576391233062
"Section I Enhancements to the 2019 Star Ratings and Future Measurement Concepts",5,1.16496990484375e-06
"Section III Improving Drug Utilization Review Controls in Medicare Part D",5,3.83987553122385e-06
"Section I Validation Audits",5,1.01062544544088e-05
"Section B.  Calculation of Fee for Service Cost",5,7.13682816056852e-06
"Section G.  MA Employer Group Waiver Plans",5,1.09135063801189e-05
"Section L.  Normalization Factors",5,1.47998589703166e-05
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate",5,9.75451187440693e-06
"Section IV   Medicare Medicaid Plans",5,7.10897796648379e-06
"Section I.  ESRD Risk Adjustment Model for CY 2019",5,1.49414754090658e-05
"Section III CY 2019 Formulary Submission Window",5,1.57601314758431e-05
"Section I Incomplete and Inaccurate Bid Submissions",5,2.93396495837376e-05
"Section E.  Clinical Trials",5,2.87228598226042e-05
"Section II Improving Beneficiary Communications and Reducing Burden for Integrated D SNPs",5,1.96396598488316e-05
"Section II Part C Cost Sharing Standards",5,0.999057968321074
"Section II Total Beneficiary Cost (TBC)",5,1.71176006736025e-05
"Section III Using the Best Available Information when making B vs D Coverage Determinations for Immunosuppressants and Inhalation Durable Medical Equipment (DME) Supply Drugs",5,2.6952233121207e-05
"Section C.  Part D Risk Sharing",5,3.30676128531715e-05
"Section II Maximum Out of Pocket (MOOP) Limits",5,3.23818605886326e-05
"Section I Audit of the Sponsoring Organization s Compliance Program Effectiveness",5,4.60136581393411e-05
"Section O.  Quality Payment Program",5,3.27701945536638e-05
"Section II Health Related Supplemental Benefits",5,4.46965442913079e-05
"Section II Parts A and B Cost sharing for Individuals Enrolled in the Qualified Medicare Beneficiary (QMB) Program",5,3.9524577486704e-05
"Section II Per Member Per Month (PMPM) Actuarial Equivalent (AE) Cost Sharing Limits",5,0.997538049176918
"Section III Improving Access to Part D Vaccines",5,3.39931663825467e-05
"Section D.  Medicare Part D Benefit Parameters  Annual Adjustments for Defined Standard Benefit in 2019",5,1.67503526654079e-05
"Section E.  Estimated Total Covered Part D Spending at Out of Pocket Threshold for Applicable Beneficiaries",5,3.60089265910172e-05
"Section I Innovations in Health Plan Design",5,4.11618437314589e-05
"Section II Encounter Data Listening Forums  Monitoring and Compliance Activities",5,4.21133920825356e-05
"Section III Tier Composition",5,5.95510303005129e-05
"Section J.  Frailty Adjustment for PACE organizations and FIDE SNPs",5,6.15634954470099e-05
"Section E.  Reduced Coinsurance for Applicable Beneficiaries in the Coverage Gap",5,4.62081807994484e-05
"Section III Expanding the Part D OTC Program",5,7.16527940693723e-05
"Section D.  ESRD Rates",5,4.74107540836645e-05
"Section I Plan Corrections",5,5.36996867816233e-05
"Section A.  Update of the RxHCC Model",5,2.95778305546096e-05
"Section II Tiered Cost Sharing of Medical Benefits",5,7.45864479475466e-05
"Section II Special Needs Plan (SNP) Legislative Sunset Provision",5,0.000122063754382236
"Section III Part D Mail Order Refill Consent Policy  Solicitation for Comments",5,4.66022022579206e-05
"Section II Cost Plan Transition to MA under MACRA",5,0.00010069769538737
"Section II Plans with Low Enrollment",5,6.64273202463629e-05
"Section III Low Enrollment Plans (Stand alone PDPs only)",5,8.5697237326157e-05
"Section III Part D Benefit Parameters for Non Defined Standard Plans",5,4.82478581672424e-05
"Section M.  Medical Loss Ratio Credibility Adjustment",5,0.000113213655097339
"Section II Medicare Advantage (MA) Uniformity Flexibility",5,4.56294850920357e-05
