"","agencyAcronym","allowLateComment","attachmentCount","commentDueDate","commentStartDate","commentText","docketId","docketTitle","docketType","documentId","documentStatus","documentType","numberOfCommentsReceived","openForComment","postedDate","title"
"11","CMS",FALSE,1,NA,NA,"On behalf of Envision, we support the proposals of the Puerto Rico Healthcare Community to consider urgent and critical policy adjustments to assure appropriate Medicare Advantage funding for  P.R.","CMS-2017-0163","Advance Notice of Methodological Changes for Calendar Year (CY) 2019 for the Medicare Advantage (MA)","Nonrulemaking","CMS-2017-0163-1139","Posted","Public Submission",1,FALSE,"2018-05-01T00:00:00-04:00","Ivelisse Zayas-PR"
"12","CMS",FALSE,0,"2018-03-05T23:59:59-05:00","2018-02-01T00:00:00-05:00","Please allow primary care physicians and or the treating physician to be the final authority on drug dosages, not the insurer/plan sponsor.   Do not punish everyone on pains meds for the sins of a few.j","CMS-2017-0163","Advance Notice of Methodological Changes for Calendar Year (CY) 2019 for the Medicare Advantage (MA)","Nonrulemaking","CMS-2017-0163-0023","Posted","Public Submission",1,FALSE,"2018-02-20T00:00:00-05:00","John Hacker-VA"
"13","CMS",FALSE,0,"2018-03-05T23:59:59-05:00","2018-02-01T00:00:00-05:00","Please do not set a hard edit for a maximum of 90MME for every patient. People metabolize medications differently and genetics do play a role in explaining the need for patients to require more than 90MME. There is no ""one size dose fits all"" when it comes to managing severe pain. Please allow physicians to treat patients as individuals using their clinical experience and personal knowledge of each patient's medical needs. 
Kari Kruska, RN","CMS-2017-0163","Advance Notice of Methodological Changes for Calendar Year (CY) 2019 for the Medicare Advantage (MA)","Nonrulemaking","CMS-2017-0163-0104","Posted","Public Submission",1,FALSE,"2018-02-20T00:00:00-05:00","Kari Kruska-OK"
"14","CMS",FALSE,0,NA,NA,"I am a patient requiring pain medication.  The pain in my body is so severe that it makes my heart rapidly beat. I have multiple diseases and a serious immune deficiency which causes extreme pain in addition I am a survivor of domestic violence and have had 6 major surgeries in 5 years. Never once have I abused pain medications. I need help to ensure I am able to stay on medications that I need for the quality of my lifr. ","CMS-2017-0163","Advance Notice of Methodological Changes for Calendar Year (CY) 2019 for the Medicare Advantage (MA)","Nonrulemaking","CMS-2017-0163-0422","Posted","Public Submission",1,FALSE,"2018-03-12T00:00:00-04:00","ID"
"15","CMS",FALSE,1,NA,NA,"See attached file(s)","CMS-2017-0163","Advance Notice of Methodological Changes for Calendar Year (CY) 2019 for the Medicare Advantage (MA)","Nonrulemaking","CMS-2017-0163-0736","Posted","Public Submission",1,FALSE,"2018-04-19T00:00:00-04:00","Patrick Cooney-DC"
"16","CMS",FALSE,0,"2018-03-05T23:59:59-05:00","2018-02-01T00:00:00-05:00","Commenting on drug utilization of opioids.  I am a Palliative Care physician practicing in a cancer center and a VA.  I agree with cancer and hospice exceptions.  I follow a number of non-cancer patients with a life-limiting illness (< 1yr prognosis, not eligible for hospice) who require higher dose opioids.   Setting 7 day limits for these patients would result in fragmented patient care.  I would consider changing the language to include patients with life-limiting illness or those followed by a board-certified palliative care or pain specialist.

I also worry about regulations penalizing the prescribing of non-opioids such as gabapentin or pregabalin.  CMS should encourage non-opioid prescriptions for all patients with chronic pain.  

I agree that more should be done to curb the real opioid crisis in this country.  I worry that these regulations will ultimately make it harder for cancer patients, palliative care patients and hospice patients to access appropriate opioids at the end of life.  There should be a good system in place to make sure no barriers for terminal patients to receive the care they need.    ","CMS-2017-0163","Advance Notice of Methodological Changes for Calendar Year (CY) 2019 for the Medicare Advantage (MA)","Nonrulemaking","CMS-2017-0163-0019","Posted","Public Submission",1,FALSE,"2018-02-20T00:00:00-05:00","Sarah Harrington-AR"
"17","CMS",FALSE,0,NA,NA,"I have been a Medicare patient for nearly 25 years, due to multiple injuries sustained after being hit by a truck and a slip and fall.  I have been diagnosed with Syringomyelia, Thoracic Outlet Syndrome, Cluster Headaches, multiple damaged discs, tailbone injury, sciatica and more.  For over a decade I refused to take daily pain medications, as I was concerned about tolerance and they didn't help that much, so I suffered terribly.  I tried nsaids, triptylines, anti epileptics, to no relief.  I tried for over a decade to get better by going through rounds of  PT, OT, Aqua therapy, chiropractic, osteopathic, TENs, MENs, acupuncture, acupressure, mindfulness, medical cannabis, natural remedies, compounds and even a failed pain pump - nothing helped relieve my pain or improve my function.  After being paralyzed and home bound for a year, my doctor suggest the Fentanyl pain patch, and it was miraculous - I went from wheelchair to walker to cane in two months!!  There was no nausea, no fog, no side effects and left me with a very clear head.

Jump forward to WA state's new laws, which started tapering me drastically.  As each micro-gram decreased, so did our lives.  My special needs son wondered why mommy no longer chaperoned field trips, took him to movies or on trips?  This summer I found out about the CDC debacle and was completely shocked that some of the University WA doctors who had gas-lighted our legislature had done their misdeeds at the CDC.  These guidelines were created in secret, by non pain management addiction doctors who had much to gain professionally and financially.  They set arbitrary limits, not taking into consideration genetics (hyper-metabolizing), patient size, disease, disorder or injury.  The 'science' they used is unproven and and frankly, somewhat ridiculous.

If these 'one size fits all' policies are enacted it is likely I may never leave my house again.  I don't know if I could physically or mentally handle more pain than I am already in?  There's no one to care for my special needs son.  If you set caps, so many will die from strokes, heart attacks and suicide.  There'll be more demand at ERs, in  nursing homes and for home care, which will end up costing more.  By under treating pain, it is likely that MORE chronic and intractable pain will be created.  By limiting acute pain medications to a 7 day (or less) supply, you are costing patients more money and additional pain to have to get to their doctor's offices and pharmacies in less than a week after a surgery or injury.
I see many pain patients who have been yanked off their psychiatric medications, because of the FDA Black Box warning.  They are having to choose between panic attacks or pain, or anxiety and pain, or seizures and pain - that is no way to live.  Restricting Lyrica and Gabapentin will only increase MORE pain and disability, as well.  Over 95% of pain patients, according to the CDC, do NOT abuse their medications - they take them as directed and do not divert, as pain patients WANT to improve function and get back to their lives.  Most of us are on strict pain contracts with pill counts, random unrinalysis, and using one pharmacy.

Prescribing has been drastically dropping for over five years, 44% here in WA state since 2012, though overdoses and death due to illicity heroin/Fentanyl(s) are skyrocketing.  The 'Opioid Epidemic' is an illicit drug issue, not a prescribing issue.  We need a legacy exemption for those of us stable on dosages over 90 MME.  We need a national PMP to reduce doctor shopping, if that even occurs anymore?  We need genetic testing, to see who are hyper-metabolizers, so they can get the dosages that work for their unique systems.  We need an intractable pain diagnostic code that will pay doctors a higher fee to manage our complicated and complex cases.  We need protections for our trusted doctors, so that they can prescribe what is necessary to our individual diseases and conditions without fear.
If you set limitations and restrictions many of us will suffer and die.  You must look at real science and not listen to zealots who have created a hysteria for profit.
","CMS-2017-0163","Advance Notice of Methodological Changes for Calendar Year (CY) 2019 for the Medicare Advantage (MA)","Nonrulemaking","CMS-2017-0163-0983","Posted","Public Submission",1,FALSE,"2018-04-30T00:00:00-04:00","Valorie Hawk, Tacoma, WA"
"18","CMS",FALSE,0,"2018-03-05T23:59:59-05:00","2018-02-01T00:00:00-05:00","I am a chronic pain patient who currently takes opioid medication to help manage my pain.  I think it is absolutely ludicrous to imagine that a third party could presume to place a maximum daily or monthly limit on my, or any other chronic pain patient's, medication.  Each person's tolerance for and requirement of medication varies tremendously.  How could you possibly imagine that you could come up with a generic formula which could fit every chronic pain patient across the board?  In order for this policy to be truly effective, each person's needs would have to be reviewed on a case-by-case basis.  This would be a waste of time and money.  Statistics show that the majority of people who are legally prescribed opioids do not become addicted, and that addiction to prescription opioids usually begins when a person takes medication that does not belong to them.  A policy such as the one you are proposing would serve only to leave chronic pain patients without much-needed medication.  Addicts would still get their fixes on the street or elsewhere.  The opioid crisis is not being caused by law-abiding chronic pain patients who are legally prescribed their medications and are taking them according to instructions.  Please do not leave us out in the cold, needlessly suffering because criminals are overdosing on illegally obtained opioids.","CMS-2017-0163","Advance Notice of Methodological Changes for Calendar Year (CY) 2019 for the Medicare Advantage (MA)","Nonrulemaking","CMS-2017-0163-0069","Posted","Public Submission",1,FALSE,"2018-02-20T00:00:00-05:00","Cyrynda Walker-FL"
"19","CMS",FALSE,0,NA,NA,"My heart goes out to both type of opioid users:  those who need prescribed opioids to have some quality of life and those who become addicted.  But it is very important to keep the two groups separate!

People who suffer from severe, chronic pain and take opioids prescribed by one physician and used them as prescribed.  These people have already tried (I am among this group of people) just about everything available to them to help them enjoy their lives to some degree.  They have tried a variety of prescribed medications, physical therapy, biofeedback, counseling, acupuncture, dry needling, yoga, Botox, healthy eating, and I could go on ad nauseum with no success.  

I have suffered from chronic, severe migraines since I was pregnant with my son who is now 40.  Now in addition to the migraines, I suffer from spinal stenosis and degenerative disc disease.  I have raised 4 children, took care of my aging parents, worked full time, enjoyed numerous hobbies and outings with friends - all because I used opioids as prescribed by one doctor, at one pharmacy and was have not had one alcoholic drink since using opioids.  I always consult with my doctor and  pharmacist before even trying an otc drug or a supplement of any kind.

I LOVE MY FAMILY AND MY LIFE, because my pain is somewhat controlled with the opioids I use.

The second group of people using opioids, are not taking them for pain!  They are using them for a high.  They do not use their opioids as prescribed to them by one doctor at one pharmacy but seek anything that will give them a high.  Most of the overdoses we hear about are a result of street drugs and/or mixing alcohol with the drugs they take.  This group of people need to be EDUCATED, provided with treatment for addiction but ultimately, they must assume some personal responsibility for what they put into their bodies.  This group of people frequently have a tremendous risk of dying because they do not use the opioids as prescribed or turn to street drugs,

The first group of people, severe and chronic pain sufferers think of dying as an alternative to living with PAIN all day, every day.  

I know, since I belong to this first group of people.  I live in constant fear that my meds will not be available to me because of the new drug laws and I will have to live in almost constant, unbearable PAIN!  I started Botox injections for my migraines over a year ago and find that the Botox has helped with the severity of the pain on many occasions but it does not eliminate pain.

I fear PAIN MORE THAN ANYTHING!  When it encompasses me and I have nothing to relieve it, I don't want to see my family, especially my cherished grandchildren, i can't enjoy any of the hobbies that used to provide so much happiness for me and I sure cannot even make plans to do something socially with friends or family.  I just curl up in PAIN. If I have to live in PAIN, I DO NOT WANT TO LIVE. There is no point to it except suffering.

So, while I truly understand the need to educate and help those who suffer from addiction, I don't see how depriving me of some quality of life will in any way help those who abuse the opioids for a high!

How many of you enjoy a beer or a glass of wine, now and then?  Should all beverages containing alcohol stop being sold anywhere because of the numerous alcoholics who tear their families apart, lose their jobs and ultimately wreck their bodies.

How about those of you who enjoy going to a casino now and then?  Should all casinos be closed because of those addicted to gambling, which destroys them and their families?

Well, what about food?  We all enjoy not only eating but need to eat to survive!  Well should all food be monitored by politicians and physicians since we are currently dealing with an epidemic of obesity?

Yes, we must educate people before they start using opioids  and provide help to those who are already addicted but should we destroy the lives of those in severe chronic pain, who follow all the rules to stop people from overdosing?  Those that seek a high won't stop with opioids, they will turn to street drugs, sniffing glue, drinking things never meant to be injested.  

Meantime, the rule followers who suffer from severe chronic PAIN, will hope to die if they cannot get some relief for their PAIN!











","CMS-2017-0163","Advance Notice of Methodological Changes for Calendar Year (CY) 2019 for the Medicare Advantage (MA)","Nonrulemaking","CMS-2017-0163-0761","Posted","Public Submission",1,FALSE,"2018-04-20T00:00:00-04:00","Chrystyna Alexander-MI"
"20","CMS",FALSE,0,NA,NA,"The CDC guidelines, though not mandatory, has caused chaos among doctors and patients.  I'm so frustrated because my rights to have proper medical treatment so I can have any type of quality of life has been taken away from me and millions like me.  Now Medicare is thinking of putting a mandatory cap of my MME per day which will surely give me a life of hell in bed.  I know I will never be able to work again, but I would like to someday walk or move my head without excruciating pain. Because we have to wait until the last day of our medication, if it is on a weekend, we can not get a pre-approval because our doctor's offices are closed and they will not get the fax for pre-approval.  This happened to me when Medicare forced me into a withdrawal because of the pre-approval process because it can take up to 72 hours. In 2019, if Medicare puts a mandatory maximum MME allowed, you are saying every patient's pain is the same, when indeed, each patient is an individual and therefore, each patient's pain is individual. I have been permanently disabled since 2007 and on Medicare since 2009.  I have lived with chronic pain since 1996 living with Cervical Degenerative Disc Disease at the age of 35, I was fully disabled at 45 years of age after my third of five spine surgeries. Between years 2007-2018 my body has developed DDD, Facet Atrophy, stenosis and several other forms of spinal deformities from C3-S1, Fibro Myalgia, Late Stage Lyme Disease, severe Rheumatoid Arthritis, Osteoarthritis, and Osteoporosis, bi-latteral radiculopathy in my arms and legs, curvature of my thoracic and lumbar spines that will worsen as I get older, severe sciatic joint and nerve damage. These diseases have aged my bones 20 years above my current biological age of 56 and my DDD has become so aggressive that 80% of my spine and joints are now damaged as a result of these diseases.  I've endured over 30 failed, non-invasive and invasive procedures and surgeries dealing with Facet Blocks, Nerve Abulation, Nerve Blocks, epidurals and spinal cord stimulators and 21 years of physical therapy's for my neck, shoulders, arms, lumbar, legs and ankles but to no avail to fix my physical abnormalities.  Opioid medications began on December 31, 2006 to the present time with gradual increases over the first 4 years. I was once a strong woman that is now an empty shell filled with pain.  I can no longer care for my home and can barely care for myself  Many days I need help getting dressed or undressed and getting in and out of the shower.  Most days I cannot turn my head or move my legs enough to allow me to drive.  In 2006, I was taking 160 MME every day and by 2008 I was on 260 MME as pain and tolerance increased. In 2014, my PM doctor cut my medications to 105 MME a day.  I don't sleep or walk well. I cannot turn my head more than 20 degrees because of RA, fusions, herniated discs, bone spurs, muscles spasms, RA swelling in every joint, and OA in my spine is so painful I have very little, if any, quality of life.  In 2014 I began seeing a new PM doctor.  He has done everything he can to try and keep my pain under control.  We began with more failed procedures.  He decided my medication levels were too low to give me any pain relief and changed my dosage back to 220 MME a day. In 2016, the new CDC guidelines changed everything and I am now on 180 MME/day which is still not enough to allow me to do the things I would like to do.  I have never failed the random drug tests.  Severe chronic illnesses such as Lyme Disease, MS, CRPS, RA, OA, Osteoporosis, internal organ pain, or any other type of pain causing disease affects each person as an individual just as our medications should be tailored to the individual.  The amount of pain medication for a 250 lb. person may be much higher or even lower than a 100 pound person, dependent upon severity of the illness, so why treat our medication process the same.  ONE SIZE DOES NOT FIT ALL.  My medications are lowered to a point that makes my life to have no quality.  If Medicare mandates to lower the MME any lower on me, I will not be able to bare the pain and will become another statistic of this ""Epidemic.""  Death would likely treat me better than life in a body I have no control over.  I do hope that you decide against changing any more policies when it comes to MME for anyone because it would do such an injustice and cause more casualties.  Just one of many, many more suicides that are currently happening because of patients' medications being lowered or taken away completely.  What will happen should your 2019 Methodological Changes take place?  The number of suicides which are up over 20 per day from pain patients, will quadruple at lightning speed.    Please do not make my life more miserable than it already is by making mandatory limits of dosage for pain medications and ease up on the Pre-Approval Process as that too is a living nightmare that forces withdrawal and, possibly death.  ","CMS-2017-0163","Advance Notice of Methodological Changes for Calendar Year (CY) 2019 for the Medicare Advantage (MA)","Nonrulemaking","CMS-2017-0163-0281","Posted","Public Submission",1,FALSE,"2018-03-12T00:00:00-04:00","LIsa Hess-NJ"
"21","CMS",FALSE,0,"2018-03-05T23:59:59-05:00","2018-02-01T00:00:00-05:00","Medical care is not a one size fits all situation therefore it cannot be treated as such. These proposals are not feasible for the patient or the practitioner, this will also drive costs as patients will be required to be seen more and the pharmacies will have to increase staff to meet the demands every week as many situations will require longer than 7 days to heal. If a patient just has surgery and isn't supposed to sit for x days how will they get their prescription? They will be required to trust someone else to get it, which is where part of the problem lies. With addicts who steal from legitimate patients. Patients who need medication do all they can to protect them, their life depends on it. Why are we not looking at the issues at hand, the addicts, the ones who Dr. Shop, enforce using the state's drug registry, enforce UA before a px is given if not already on a protocol with physician. The prescriptions given at the er for the frequent flyers are the ones that may slightly be contributing to the problem. I work with intractable pain patients daily and can guarantee this is not the answer. The sanctity of the physicians oath and the doctor patient relationship needs to be restored. Take a good look at the toxicology reports from the state's overdoses, you will find there is no opiate epidemic and the ones that have 7 mental health meds on board with tramadol should probably be ruled as a suicide not an opiate related overdose. The numbers are being skewed to fit the agenda and good people are dying because of it. People who want to live. Remove yourself from your and consider yourself a normal person who went in for a fusion that failed, or someone who was sent for epidural steroid injection one after another and now has considerable damage. How would you want to be treated or have a loved one treated? ","CMS-2017-0163","Advance Notice of Methodological Changes for Calendar Year (CY) 2019 for the Medicare Advantage (MA)","Nonrulemaking","CMS-2017-0163-0194","Posted","Public Submission",1,FALSE,"2018-03-02T00:00:00-05:00","K.L.-MT"
"22","CMS",FALSE,0,NA,NA,"As a patient at a pain management practice, there are already so many difficulties and inconveniences involved with opioid treatment. I am 29 years old, and unfortunately I suffer from severe migraine headaches and neck and back problems. At their worst, I would get at least 2 migraines a week, of such severity I couldn't even get out of bed. After many years of treatment through the help of my doctors, I have gotten that figure down to around 2-3 migraines a month. But without the opioid medications I was prescribed, I don't think that vast improvement would have been possible. After having many doctors tell me I was ""too young"" to be experiencing that level of pain, but would never perform an examination, on one occasion, I remember literally begging a doctor to feel, or even just to look to see the knots in my neck and back the size of golfballs. Thankfully, I did find a doctor that took me seriously and after multiple visits, exams, imaging (X-ray, MRIs) and combinations of OTC and weaker prescription analgesics, muscle relaxants and PT, he referred me to pain management. I was blessed again to see a very hands on type doctor, and listed almost all the symptoms I was suffering from just by feeling where the muscle spasms were and asking questions. I was put on prescription pain killers, and that period involved careful titration and trial and error to see which medications worked best for me. After being put on the right combination of meds, I was able to start doing things again, simple things that I used to take for granted. It allowed me to begin doing yoga and certain stretches and exercises that helped alleviate more pain. I have been able to get parts of my life back because of the combination of medication and exercise. I have still had to give up many activities I love, but because of these medications I've gotten some of my life back. I can go out and do things. The uncertainty of your pain level on a day to day basis is very hard to deal with, you stop making plans, and your friends stop calling to ask you to do things with them because you've had to cancel at the last minute so many times. People that are on higher dosages of opioids are on higher dosages because they've been on them for a long time and they do not have the same effect as on people being treated for acute pain. Those of us that need these meds do NOT like to be on them.. it's not fun for us. They are a tether. To use an analogy, do you think diabetics enjoy taking their insulin? Of course not, it's ridiculous, and for long term opioid patients, their pain medicine doesn't make them ""high"" or ""loopy"", it allows us to feel semi-normal. For a bureaucracy to intrude and tell a patient their dose is ""too high"" based on some arbitrary guideline is appalling. Who is more likely to know what the patient needs than their own doctor, who has seen them for a long period of time and can monitor their progress closely. The only result of ""regulations"" like these are negative. Costs go up, doctors spend more time filling out paperwork than looking after the welfare of their patients, and patients suffer. Concern for overdose deaths and opioid abuse are serious issues no one can dispute. But no one obtaining their medication legally would be on higher than 90 MME unless their physician is confident that they need it. Adding more red tape for legitimate pain patients, not just those that suffer from cancer or under the care of hospice, will not solve any problems regarding prescription abuse. They are separate issues, apples and oranges, there is no corollary, as long term, chronic pain sufferers MUST consent to random drug tests, mandatory doctor visits and pill counts. The safeguards are in place. Most overdoses and opioid deaths come from drugs obtained illegally, whether they are prescription opioids sold on the street or from heroin.","CMS-2017-0163","Advance Notice of Methodological Changes for Calendar Year (CY) 2019 for the Medicare Advantage (MA)","Nonrulemaking","CMS-2017-0163-0635","Posted","Public Submission",1,FALSE,"2018-04-19T00:00:00-04:00","Anonymous-VA"
"23","CMS",FALSE,0,NA,NA,"Do not let this alleged methodological change take place. I have been in pain since 1993 long before the ""crisis"". If not for caring medical procedures and medication I would have given up long ago. The quality of life with medicine keeps me semi productive. in the USA I grew up in this change would never be tolerated! Please try to gather some common sense in making this deadly absurd decision.  Thanks                                                                                                                                                                           ","CMS-2017-0163","Advance Notice of Methodological Changes for Calendar Year (CY) 2019 for the Medicare Advantage (MA)","Nonrulemaking","CMS-2017-0163-0408","Posted","Public Submission",1,FALSE,"2018-03-12T00:00:00-04:00","NC"
