V1,,n
scd,,14
selfreport,,14
sempre,,14
silverscript,,14
tty,,14
weve,,14
altamed,,13
anticoagulation,,13
asam,,13
cda,,13
cheri,,13
cmsinitiated,,13
commentsi,,13
conclusionin,,13
ehealth,,13
ehrs,,13
fdas,,13
hivaids,,13
humanas,,13
illinois,,13
ires,,13
jd,,13
maonly,,13
mips,,13
msho,,13
multiformula,,13
nonlisde,,13
operationalized,,13
partd,,13
percentagebased,,13
postpointofsale,,13
ry,,13
socalled,,13
staywell,,13
todays,,13
underserved,,13
usp,,13
vermacenters,,13
wellestablished,,13
wisconsin,,13
african,,12
aprns,,12
ar,,12
beneficiariescms,,12
bp,,12
cmps,,12
commentsthe,,12
commentwe,,12
congressmember,,12
costweighted,,12
countrys,,12
doshi,,12
edicare,,12
else's,,12
emr,,12
exceptionscms,,12
fdca,,12
feb,,12
fmi,,12
ghlf,,12
hedisclaimsmembers,,12
heshe,,12
injectable,,12
inperson,,12
ipc,,12
lynn,,12
mgma,,12
mmas,,12
msda,,12
multistakeholder,,12
newlyeligible,,12
nonenglish,,12
ofsale,,12
oncolytics,,12
pho,,12
recommendationsthe,,12
requestrems,,12
roberts,,12
san,,12
sdoh,,12
smallmolecule,,12
statins,,12
subspecialty,,12
trainings,,12
abc,,11
achc,,11
afterthefact,,11
alaska,,11
amy,,11
antipsychotic,,11
apr,,11
arent,,11
bayer,,11
caras,,11
clawback,,11
costsavings,,11
crosssubsidization,,11
csnps,,11
dci,,11
diseasespecific,,11
disenrolled,,11
dualeligibles,,11
erisa,,11
fdamandated,,11
fidesnp,,11
highneed,,11
hightouch,,11
icp,,11
impactful,,11
incentivizes,,11
marketbased,,11
multibillion,,11
nonlowincome,,11
nonmedically,,11
npaf,,11
odm,,11
pharmacyi,,11
pointof,,11
prescriptionrelated,,11
qpp,,11
rds,,11
requirementperformrx,,11
rheumatologists,,11
rn,,11
sandoz,,11
sectiontitlepage,,11
servicesi,,11
upmc,,11
uptodate,,11
wellcares,,11
withincontract,,11
abovereferenced,,10
ade,,10
af,,10
ai,,10
andthe,,10
anne,,10
aod,,10
apta,,10
armstrong,,10
aug,,10
autoescalation,,10
benchmarking,,10
bh,,10
cagw,,10
cga,,10
ckd,,10
commentsbma,,10
commerciallysensitive,,10
ent,,10
entitys,,10
eob,,10
fbde,,10
freseniusrx,,10
govre,,10
halfstar,,10
hba,,10
hedisc,,10
hh,,10
hhss,,10
htm,,10
ibc,,10
individualsentities,,10
injectables,,10
james,,10
jdrf,,10
kluwer,,10
mdhhs,,10
meritbased,,10
mmcp,,10
msa,,10
nj,,10
npas,,10
optum,,10
pdpmapd,,10
peerreviewed,,10
plp,,10
proposalsthe,,10
qos,,10
qualitybased,,10
rebatesimplementing,,10
requirementsthe,,10
risksharing,,10
salecms,,10
scott,,10
sept,,10
sglt,,10
shortterm,,10
skinner,,10
suboptimal,,10
tampa,,10
titleorganization,,10
tlte,,10
tx,,10
unrounded,,10
unwaivable,,10
wac,,10
wolters,,10
alabama,,9
allcause,,9
asha,,9
astro,,9
athttpswww,,9
athttpwww,,9
autoforwarded,,9
awpl,,9
bbp,,9
benefitting,,9
bona,,9
capitated,,9
casemix,,9
ccip,,9
ccips,,9
changesreducing,,9
clawbacks,,9
commentas,,9
commentsphrma,,9
comorbid,,9
congresss,,9
csrxp,,9
definitional,,9
drugscms,,9
fein,,9
francisco,,9
gcfwa,,9
georgia,,9
hardcopy,,9
highlyrated,,9
hopkins,,9
idr,,9
il,,9
incent,,9
interprofessional,,9
isnt,,9
kansas,,9
le,,9
lifethreatening,,9
los,,9
maine,,9
manufacturerswho,,9
medicaidcovered,,9
moran,,9
mtac,,9
mtmps,,9
naic,,9
namei,,9
nd,,9
networksa,,9
networksan,,9
nma,,9
nonpharmacologic,,9
nonrenewing,,9
nonrisk,,9
npis,,9
ofpocket,,9
ons,,9
patrick,,9
pbmp,,9
phsa,,9
planpbm,,9
pmail,,9
pqas,,9
priorauthorization,,9
questioncms,,9
rebatable,,9
recoupments,,9
riskbased,,9
robert,,9
ruleproposal,,9
se,,9
servicesp,,9
snfs,,9
solera,,9
subsidyeligible,,9
supd,,9
thomas,,9
threeyear,,9
thursday,,9
twoyear,,9
ty,,9
vermathank,,9
vsds,,9
whollyowned,,9
wi,,9
wouldover,,9
yearsincrease,,9
zepatier,,9
acep,,8
aco,,8
adam,,8
alcon,,8
alexandria,,8
angeles,,8
antidiscrimination,,8
antipsychotics,,8
ascrs,,8
autoforward,,8
biopharmaceutical,,8
bmi,,8
brian,,8
burwell,,8
casebycase,,8
cehrt,,8
changescms,,8
chargebacks,,8
clin,,8
commentpqa,,8
companys,,8
consolidationscms,,8
costshifting,,8
countylevel,,8
denver,,8
dhhs,,8
disenrollments,,8
emollment,,8
eocs,,8
experiencerestoration,,8
expirations,,8
fallon,,8
gdr,,8
gelfand,,8
industrywide,,8
insulins,,8
iowa,,8
iqvia,,8
janet,,8
larrick,,8
lowerrated,,8
medicationrelated,,8
midplan,,8
minnesotas,,8
mippa,,8
mmes,,8
mmg,,8
monday,,8
nasps,,8
nda,,8
nemt,,8
noncahps,,8
noncompliant,,8
nondrug,,8
nonma,,8
nonmaintenance,,8
nonmarketing,,8
novo,,8
npes,,8
ns,,8
oncs,,8
optumrx,,8
pac,,8
payor,,8
pdppbm,,8
pharmacycms,,8
phrmas,,8
phs,,8
physicianled,,8
planspecific,,8
pmedicare,,8
polypharmacy,,8
posthospital,,8
postsale,,8
productlevel,,8
programto,,8
providerpharmacy,,8
pto,,8
quintilesims,,8
recertification,,8
recms,,8
rheumatologic,,8
robm,,8
rollout,,8
ryan,,8
salethe,,8
salewe,,8
singlesource,,8
smp,,8
ssas,,8
stateinitiated,,8
trn,,8
twentyfour,,8
twoday,,8
unlevel,,8
williams,,8
yoy,,8
accreditations,,7
adc,,7
anthc,,7
apas,,7
apms,,7
astellas,,7
atlanta,,7
autoenrollment,,7
cancerrelated,,7
capc,,7
changesthe,,7
cns,,7
comorbidity,,7
concernthe,,7
conclusionthank,,7
conclusionthe,,7
coveragecms,,7
csro,,7
dave,,7
disincentivize,,7
druglevel,,7
effectuation,,7
employersponsored,,7
employmentbased,,7
eobs,,7
expressscripts,,7
frf,,7
friday,,7
fulltime,,7
gottlieb,,7
grosstonet,,7
healthrelated,,7
healths,,7
hemodialysis,,7
hitn,,7
hl,,7
hoadley,,7
homebased,,7
ia,,7
ic,,7
icep,,7
impermissibly,,7
indian,,7
inhome,,7
inthe,,7
ipsd,,7
jones,,7
lisdual,,7
louisiana,,7
lowestcost,,7
mary,,7
minneapolis,,7
mpa,,7
mso,,7
nam,,7
namd,,7
nordisk,,7
nt,,7
obcccc,,7
operationalizing,,7
outcomebased,,7
overpayments,,7
patientexperience,,7
patientspecific,,7
payors,,7
pdc,,7
periodwe,,7
pharmacyprescriber,,7
programcms,,7
programthe,,7
provisionscms,,7
psao,,7
publicprivate,,7
qualityimproving,,7
recoupment,,7
remedicare,,7
responsethe,,7
richard,,7
roadmap,,7
salein,,7
sb,,7
sociodemographic,,7
statusrelated,,7
systemcms,,7
tcrn,,7
te,,7
telephonically,,7
tenncare,,7
texas,,7
threemonth,,7
utilizers,,7
ve,,7
veba,,7
vermawe,,7
vp,,7
welldocumented,,7
acrosscontract,,6
activitiescms,,6
aff,,6
ahips,,6
alzheimers,,6
anda,,6
appealable,,6
asc,,6
atap,,6
ation,,6
bci,,6
brandgeneric,,6
cahc,,6
cahpsc,,6
cdcs,,6
chcr,,6
chinese,,6
chris,,6
christine,,6
ci,,6
cmrs,,6
cmsspecified,,6
cohen,,6
commentspdx,,6
commentswe,,6
contentuploads,,6
cui,,6
cutover,,6
cv,,6
dj,,6
donald,,6
drugrelated,,6
dthe,,6
duallis,,6
dusetzina,,6
edi,,6
efts,,6
ehra,,6
eo,,6
exceptionsthe,,6
facto,,6
fidesnps,,6
flexibilitycms,,6
ge,,6
gpos,,6
hampshire,,6
hawaii,,6
henry,,6
higherthanaverage,,6
hms,,6
hotline,,6
hta,,6
icl,,6
idahos,,6
ings,,6
interoperable,,6
isa,,6
ky,,6
landon,,6
lim,,6
lnovalon,,6
lowcost,,6
ltcfs,,6
lti,,6
ly,,6
lyrica,,6
managementclinical,,6
mapart,,6
margaret,,6
meds,,6
metaanalysis,,6
mexico,,6
mha,,6
mrr,,6
mssp,,6
myeloid,,6
nashville,,6
ncqas,,6
nonbenefit,,6
nonexhaustive,,6
nonglobal,,6
nonintegrated,,6
nonretail,,6
npc,,6
oap,,6
ofthe,,6
oligopolistic,,6
onesizefitsall,,6
opioidcontrolled,,6
organizationscms,,6
overpayment,,6
overutilizing,,6
pait,,6
paul,,6
pcp,,6
perpatient,,6
peterson,,6
phaimacies,,6
pharmacybased,,6
phasedin,,6
phd,,6
phos,,6
phq,,6
po,,6
populationbased,,6
prescriberbased,,6
prescribersproviders,,6
prescribingehr,,6
processcms,,6
processwe,,6
proltr,,6
proltreng,,6
providerpatient,,6
provisionswe,,6
psychosocial,,6
qms,,6
ratingscvs,,6
rehospitalizations,,6
reprocurement,,6
requirementswe,,6
revisionscommentspfizer,,6
ri,,6
riskadjustment,,6
rti,,6
rulecms,,6
sco,,6
sdos,,6
selfreported,,6
sincerelydavid,,6
siteofcare,,6
solicitationcms,,6
standardscms,,6
statelevel,,6
steve,,6
surveybased,,6
susan,,6
systemwe,,6
telehealthbased,,6
teradata,,6
thatthe,,6
themedicare,,6
theyre,,6
timelimited,,6
tivity,,6
toinclude,,6
tsgac,,6
uhgs,,6
undeliverable,,6
usa,,6
wang,,6
weightscms,,6
wellfunctioning,,6
yearround,,6
abusedeterrent,,5
acap,,5
acas,,5
accreditors,,5
ach,,5
acms,,5
acrosstheboard,,5
actuarys,,5
affordabilityflexibility,,5
aj,,5
allison,,5
amrr,,5
ana,,5
andrew,,5
arizonas,,5
ashley,,5
ashp,,5
aspx,,5
autoassigned,,5
autoenrolled,,5
ay,,5
azar,,5
bach,,5
bcbs,,5
beneficiarieswe,,5
beneficiarycms,,5
benzodiazepine,,5
berkeley,,5
bpcia,,5
bpt,,5
broadbased,,5
caloptima,,5
canada,,5
cds,,5
changeprescription,,5
changeswe,,5
chc,,5
childrens,,5
coinsurancebased,,5
columbus,,5
contactprescriber,,5
costhighly,,5
counterintuitive,,5
crohns,,5
ctac,,5
cvd,,5
dakota,,5
davis,,5
dba,,5
denialsprescription,,5
dfasam,,5
dhs,,5
differentially,,5
dmepos,,5
dohmh,,5
dualpricing,,5
eatoea,,5
ehb,,5
endstage,,5
endtoend,,5
enrollmentcms,,5
enrollmentdisenrollment,,5
erulemaking,,5
escos,,5
faa,,5
fai,,5
fcc,,5
firstyear,,5
fmos,,5
followsthe,,5
forbes,,5
formularylevel,,5
fsa,,5
gmail,,5
gsasam,,5
harvoni,,5
hcbs,,5
healthc,,5
hg,,5
highpriced,,5
hrsa,,5
hsag,,5
htt,,5
httpswww,,5
httpwww,,5
ibt,,5
inadequateunsatisfactory,,5
ingelheim,,5
inoffice,,5
integritycms,,5
ir,,5
jeff,,5
jl,,5
jo,,5
ld,,5
lep,,5
linda,,5
louisville,,5
lowerpriced,,5
lth,,5
marc,,5
matthew,,5
mcguire,,5
measureswe,,5
mellitus,,5
messagenew,,5
messageprescription,,5
michelle,,5
micrographic,,5
mln,,5
moore,,5
muc,,5
multilanguage,,5
multistate,,5
musculoskeletal,,5
namenda,,5
nbpp,,5
newtomarket,,5
ng,,5
nondual,,5
nonhispanic,,5
nonphysician,,5
nonresponsive,,5
noticecall,,5
notificationremove,,5
npe,,5
nyc,,5
obrien,,5
omnicare,,5
oncol,,5
onemonth,,5
opioidrelated,,5
oregon,,5
orhave,,5
outofstock,,5
paf,,5
palliat,,5
parkinsons,,5
patientcentric,,5
pbplevel,,5
periodcms,,5
phaimacy,,5
pharmacyspecific,,5
planscms,,5
postadjudication,,5
preapproval,,5
preclusions,,5
presc,,5
productspecific,,5
providerbased,,5
ps,,5
realworld,,5
recertificationrisk,,5
reconsiderationscms,,5
reducedprice,,5
reinstatements,,5
requestremsinitiationrequest,,5
requestscms,,5
retroactivity,,5
robinson,,5
rockville,,5
roi,,5
roy,,5
ru,,5
ruledear,,5
secondlargest,,5
shortacting,,5
sincerelyjohn,,5
socio,,5
sood,,5
sp,,5
spc,,5
speedtotherapy,,5
ss,,5
steven,,5
stuart,,5
subacute,,5
sy,,5
tbc,,5
teambased,,5
thirdlargest,,5
tim,,5
tio,,5
tl,,5
tpas,,5
troxel,,5
twomonth,,5
umac,,5
unitedhealth,,5
uracs,,5
vas,,5
vermaadministratorcenters,,5
walgreens,,5
webbased,,5
william,,5
abbvie,,4
acpa,,4
acq,,4
ades,,4
admind,,4
advantageprescription,,4
advisor,,4
agentbrokers,,4
ahca,,4
aian,,4
alexander,,4
allinclusive,,4
altemative,,4
americanjournalofmanagedcare,,4
anangements,,4
andas,,4
andcms,,4
andrems,,4
andwhere,,4
anocs,,4
anthony,,4
antikickback,,4
aonly,,4
approvable,,4
au,,4
availablehere,,4
bas,,4
benefi,,4
beneficiariesthe,,4
beneficiariesthis,,4
benefitclaims,,4
benefitted,,4
beq,,4
bidprojected,,4
biguanides,,4
bingham,,4
bla,,4
bloomberg,,4
blum,,4
boehringer,,4
br,,4
brooklyn,,4
bsn,,4
burdencomment,,4
bv,,4
canadian,,4
casemanagement,,4
ce,,4
charles,,4
chp,,4
christopher,,4
ciary,,4
cj,,4
claimsmembers,,4
claimsxten,,4
cmd,,4
cmed,,4
cms's,,4
cmsapproved,,4
cmscpi,,4
cmsdefined,,4
cochrane,,4
collegium,,4
combatting,,4
comjanuary,,4
commentin,,4
commentsnni,,4
conclusionwe,,4
conditionscms,,4
conditionsin,,4
conti,,4
copa,,4
courtney,,4
crossreference,,4
crosswalked,,4
crosswalking,,4
csnp,,4
cun,,4
cunent,,4
curr,,4
cuttent,,4
cuttingedge,,4
cvscaremark,,4
datathe,,4
dcps,,4
deirdre,,4
deliveryseema,,4
demetrios,,4
deprescribing,,4
determ,,4
dfasamregion,,4
di,,4
diseasetailored,,4
disincentivized,,4
dnp,,4
donna,,4
doug,,4
drugc,,4
drugdrug,,4
drugswe,,4
drugthe,,4
dsmo,,4
duffy,,4
edicaid,,4
edu,,4
ef,,4
effo,,4
ehbbenchmark,,4
emily,,4
emollees,,4
emrs,,4
entrylevel,,4
erx,,4
esis,,4
everincreasing,,4
experiencebased,,4
facp,,4
fdaapproved,,4
fhir,,4
fi,,4
firsttomarket,,4
fivestar,,4
fo,,4
followingthe,,4
fu,,4
fy,,4
genericdrug,,4
gibson,,4
glycemic,,4
hargan,,4
hcc,,4
hcl,,4
hcpcs,,4
hdhps,,4
healt,,4
healthmart,,4
heb,,4
highdeductible,,4
higherrated,,4
highlevel,,4
highprice,,4
hipaanamed,,4
hmos,,4
homebound,,4
hosc,,4
hpidoeid,,4
humulin,,4
huo,,4
ial,,4
iaries,,4
icd,,4
iiiii,,4
im,,4
immunomodulators,,4
incenter,,4
includingthe,,4
insightxl,,4
instancesall,,4
insulindependent,,4
insurerspart,,4
introcaso,,4
io,,4
ipitch,,4
isnps,,4
jacobson,,4
jason,,4
jj,,4
jon,,4
jonathan,,4
jordan,,4
joseph,,4
jp,,4
kate,,4
kathleen,,4
kbv,,4
kim,,4
kpsc,,4
leal,,4
les,,4
lf,,4
limitscms,,4
lisinopril,,4
lloyd,,4
ln,,4
locallybased,,4
longacting,,4
lopez,,4
lowerthanexpected,,4
lowtomedium,,4
lt,,4
ltssrelated,,4
lynparza,,4
macular,,4
madp,,4
maeligible,,4
mai,,4
mallinckrodt,,4
manufacturersponsorpbm,,4
margolis,,4
marketlevel,,4
masshealth,,4
materialscms,,4
mayjune,,4
mbi,,4
mcstanley,,4
mcwilliams,,4
measuresthe,,4
medi,,4
medicationdeliverysystemonmedicationadherence,,4
mediconnect,,4
meghan,,4
meier,,4
metformin,,4
mgday,,4
midjanuary,,4
mlrs,,4
mmm,,4
mtmp,,4
multipronged,,4
multispecialty,,4
multistandards,,4
murray,,4
nacha,,4
nadp,,4
naloxone,,4
ncqaaccredited,,4
nebraska,,4
nltcps,,4
nonapplicable,,4
noncapitated,,4
nonnetwork,,4
nonoffers,,4
nonrenewals,,4
nonrenewed,,4
nonsurvey,,4
noticeand,,4
npf,,4
nursemanaged,,4
oei,,4
oeid,,4
officerbehavioral,,4
onefifth,,4
onlyc,,4
opioidspecific,,4
optedout,,4
orx,,4
oversample,,4
overutilizers,,4
paii,,4
palacio,,4
pam,,4
patientconsumer,,4
patientprovider,,4
pbmowned,,4
pdes,,4
periodthe,,4
persistency,,4
pharmac,,4
pharmacother,,4
pharmacypdx,,4
pharmacyrelated,,4
pharmacythe,,4
phaseclaims,,4
phatak,,4
planfinder,,4
planprovider,,4
plansmedicareadvtgspecratestatsdownloadsannouncement,,4
plansto,,4
pmid,,4
poicyb,,4
pointofcare,,4
practicebased,,4
preenrollment,,4
prescriberinitiated,,4
presidentgovernment,,4
proceduresservices,,4
procompetitive,,4
propos,,4
proposalcms,,4
providerdriven,,4
pwc,,4
qiarelated,,4
qn,,4
qrs,,4
qual,,4
quincy,,4
reassociation,,4
recordsto,,4
recredentialing,,4
redesignated,,4
reenrolled,,4
relatedly,,4
requestprescription,,4
requestsnew,,4
responseprescription,,4
reviewcms,,4
riskadjusted,,4
rxhistoryrequest,,4
rxhistoryresponse,,4
rxrenewalrequest,,4
rxrenewalresponse,,4
rxtransferresponse,,4
samantha,,4
sarah,,4
scriptbyscript,,4
sd,,4
selffunded,,4
sess,,4
shouldnt,,4
sincerelybruce,,4
sincerelythomas,,4
sinfoniarx,,4
sk,,4
sm,,4
sni,,4
sourcescms,,4
specialtyhighcost,,4
sr,,4
ssdi,,4
stacie,,4
statespecific,,4
stepwise,,4
subchapter,,4
subspecialties,,4
substitutable,,4
sunovion,,4
suppo,,4
tagalog,,4
tapentadol,,4
tct,,4
tenyear,,4
tha,,4
thata,,4
ther,,4
threequarters,,4
timeconsuming,,4
tion,,4
transactionsprescription,,4
transformative,,4
trueup,,4
twobusiness,,4
typescms,,4
uaw,,4
unadjusted,,4
unaffordable,,4
und,,4
underutilization,,4
unitedhealthcare,,4
usc,,4
userfriendly,,4
ut,,4
vermont,,4
walter,,4
welldesigned,,4
wellknown,,4
whena,,4
widelyused,,4
withs,,4
yu,,4
aa,,3
aanp,,3
abus,,3
accaha,,3
acponline,,3
adhd,,3
adl,,3
adls,,3
adminc,,3
administrat,,3
administrationsystem,,3
administratorcenter,,3
aetnas,,3
afendulis,,3
afinitor,,3
agencywhere,,3
agentsbrokers,,3
ageoptions,,3
alan,,3
aleutian,,3
alex,,3
allegheny,,3
allowedannual,,3
altegra,,3
ame,,3
amountyes,,3
amundsen,,3
anai,,3
andallow,,3
anderson,,3
andhow,,3
andprescribers,,3
andprovide,,3
andreducing,,3
andy,,3
anesth,,3
antidiabetic,,3
ao,,3
applestoapples,,3
appropriateleiemedgsasamprecluded,,3
aprn,,3
arated,,3
arenext,,3
arundel,,3
aspxid,,3
auc,,3
auditable,,3
auditreview,,3
auditsprovide,,3
aurel,,3
austin,,3
aut,,3
backgroundthere,,3
bba,,3
bd,,3
beconsidered,,3
belowaverage,,3
benchmarked,,3
benefic,,3
beneficiari,,3
beneficiarie,,3
beneficiariesestablishing,,3
beneficiaryprescriber,,3
beneficiarysection,,3
beneficiarywe,,3
benoit,,3
ber,,3
bestinclass,,3
betimol,,3
betterinformed,,3
bfsf,,3
binpcn,,3
binpcngroup,,3
biooriginator,,3
bmj,,3
bradley,,3
brca,,3
bruce,,3
cae,,3
californias,,3
cantonese,,3
capd,,3
carecases,,3
caremarks,,3
carewhere,,3
categoryclass,,3
cb,,3
cbos,,3
cca,,3
ccf,,3
cdappeals,,3
cddvd,,3
celiac,,3
ceonational,,3
cfcs,,3
changerxfill,,3
changesto,,3
changesupdates,,3
changeswhile,,3
chf,,3
cia,,3
circumstanceslimit,,3
classlevel,,3
clopidogrel,,3
cmsconducted,,3
cochairs,,3
coinsurances,,3
collectiona,,3
collins,,3
commentscms,,3
commentsection,,3
commentwhile,,3
commentyou,,3
concerni,,3
concernsindustry,,3
concessionscms,,3
congressionally,,3
consumeroriented,,3
consumertested,,3
conversiondefault,,3
coordinationmedicareandmedicaidcoordinationmedicaremedicaidcoordination,,3
copaycoinsurance,,3
copaywhen,,3
costcutting,,3
costefficient,,3
costrelated,,3
costsaving,,3
costsno,,3
coststhe,,3
coveragethe,,3
cpi,,3
cpt,,3
cql,,3
credentialingpeer,,3
credentialspeer,,3
criteriaquality,,3
ctms,,3
cubanski,,3
daniel,,3
danielle,,3
datait,,3
datethe,,3
dcovered,,3
ddirect,,3
del,,3
delayomission,,3
denialsnewrxresponsedenied,,3
dennis,,3
dermatol,,3
determinates,,3
dhcm,,3
diego,,3
directorjanuary,,3
dirthe,,3
disabilityrelated,,3
diseasemodifying,,3
disenrolling,,3
disincentivizing,,3
dma,,3
dollarfordollar,,3
douglas,,3
dru,,3
drugcms,,3
drugmakers,,3
drugpricing,,3
drugsthe,,3
duallisdisabled,,3
duallyenrolled,,3
dunn,,3
dva,,3
dx,,3
easytocommunicate,,3
ebba,,3
ected,,3
edelivery,,3
egede,,3
ehbs,,3
ej,,3
ellen,,3
emhs,,3
emoll,,3
emollee,,3
employerunion,,3
engl,,3
enrolleethat,,3
enrollmentmedicarepresdrugeligenroldownloadscy,,3
ently,,3
eprescriptions,,3
erla,,3
ers,,3
esco,,3
esq,,3
eventadverse,,3
ew,,3
facilitys,,3
faq,,3
farley,,3
fas,,3
fasam,,3
fb,,3
feesthe,,3
ferguson,,3
fibromyalgia,,3
filesleie,,3
fiveyear,,3
flowcms,,3
followingchanging,,3
followsno,,3
fonnulary,,3
formularize,,3
forprofit,,3
fortysix,,3
fourmonth,,3
frequentlyabused,,3
frommedicaid,,3
frontend,,3
genericlabeled,,3
ghubert,,3
gilead,,3
governmentsponsored,,3
govnewsroommediareleasedatabasefactsheets,,3
grassley,,3
greenland,,3
greg,,3
guam,,3
guidanceguidancemanualsdownloadsmc,,3
hagens,,3
handson,,3
harrington,,3
harskamp,,3
healthchoices,,3
healthease,,3
hedisclaimschildren,,3
henderson,,3
highstakes,,3
himher,,3
himss,,3
hines,,3
hipaacompliant,,3
hipaamandated,,3
holmes,,3
homecare,,3
hosbased,,3
hospitalbased,,3
howard,,3
hsas,,3
hu,,3
hubbard,,3
hypogonadism,,3
ica,,3
icare,,3
icer,,3
icfmrs,,3
idss,,3
ig,,3
ihseligible,,3
